#,country,city,company,email,type,match,phone,website
77,AM,"Abovyan, Kotayk Region",ORWACO CJSC,info@orwaco.am,agrochem,55,+374 94 644073,https://orwaco.am/en/
78,GE,Tbilisi,Agrimatco Georgia LLC,agrimatco.georgia@agrimatco-eu.com,agri-input,90,+995 322 222 404,agrimatco.ge
79,GE,Tbilisi,Nutrimax,info@nutrimax.ge,feed,88,230 53 35,nutrimax.ge
80,GE,Akhalkalaki,Agrosphere (Noblex LTD),info@noblex.ge,agri-input,82,247 30 05,agrosphere.ge
81,GE,Gori,Agronovation (Agronova.ge),info@agronova.ge,agri-input,80,(577) 69 04 01,agronova.ge
82,GE,Kutaisi,Agricula,info@agricula.ge,agri-input,78,591 50 96 77,agricula.ge
83,GE,Tbilisi,Novofert-Georgia,novofertge@gmail.com,agri-input,78,(557) 63 10 83,novofert.ge
84,GE,Tbilisi,Agrofert,agrofert.georgia@gmail.com,agri-input,76,(591) 02 29 00,agrofert.ge
85,GE,Batumi,Agrokartli,agroqartli.georgia@gmail.com,agri-input,75,(568) 23 44 55,agrokartli.ge
86,GE,Tbilisi,Agro Sakhli (Agrohall),info@agrohall.ge,agri-input,74,(579) 79 74 17,agrohall.ge
87,GE,Tbilisi,Agronom,info@agronom.com.ge,agri-input,70,(568) 25 10 84,agronom.com.ge
88,GE,Tbilisi,Agrow (Agrow Agriculture),info@agrow.ge,agri-input,70,+995 558 797 733,agrow.ge
89,GE,Tbilisi,Agrosima,agrosimallc@gmail.com,agri-input,68,(598) 53 44 00,agrosima.ge
90,GE,Tbilisi,Agrotrust,info@agrotrust.ge,agri-input,68,032 388 82 58,agrotrust.ge
91,GE,Tbilisi,Grow Grow,info@growgrow.ge,agri-input,66,2 500 420,growgrow.ge
92,GE,Tbilisi,Rusagro LLC,info@rusagro.ge,agri-input,66,(599) 92 35 41,rusagro.ge
93,GE,Tbilisi,Ioto Agro,info@ioto.ge,agri-input,62,211 17 17,
94,GE,Tbilisi,Baraka,info@baraka.ge,agri-input,62,032 204 44 49,baraka.ge
95,GE,Tbilisi,Cartlis Management,info@cartlis.ge,agri-input,60,244 55 42,cartlis.ge
96,GE,Batumi,Dektonnl International LLC,dektonnl@mail.com,importer/trader,58,+995 555624707,dektonnl.com
97,GE,Tbilisi,Chirina Ltd.,info@chirina.ge,feed,55,2 000 221,chirina.ge
98,GE,Tbilisi,Smart Feed,smartfeed@yahoo.com,feed,55,(551) 58 07 07,
99,GE,Tbilisi,Unigrain Georgian Group,contact@unigrain.ge,feed,52,242 46 86,
100,GE,Tbilisi,Syngenta Agro (Georgia office),nino.makaltia@syngenta.com,agrochem,40,235 33 12,
101,PK,Lahore,Jullundur (Pvt) Ltd,info@jullundurgroup.com,agri-input,82,042-35175912,https://jullundur.com.pk
102,PK,Lahore,Total Nutrition (Pvt) Ltd,info@totalnutrition.pk,feed,82,,https://www.totalnutrition.pk
103,PK,Lahore,NIMPEX Chemicals Pakistan (NIMPEX Group),info@nimpexchemicals.com,feed,80,+92 42 35466426,https://nimpexchemicals.com
104,PK,Multan,Suncrop Group,info@suncropgroup.com,agrochem,80,+92 61 111 580 580,https://www.suncropgroup.com
105,PK,Sargodha,Pak Agro Fertilizers & Chemicals (Pvt) Ltd,info@pakagrofertilizers.com,importer/trader,80,+92-48-6681009,https://pakagrofertilizers.com
106,PK,Lahore,Gunjmandi Chemicals,sales@gunjmandichemicals.com,importer/trader,78,+92-42-35782145,https://gunjmandichemicals.com
107,PK,Hyderabad,National Fertilizer Marketing Limited (NFML),info@nfml.com.pk,importer/trader,78,(92 22) 3867700,https://www.nfml.com.pk
108,PK,Multan,Abdullah Haseeb Agro Chemicals (AHAC),info@abdullahhaseeb.com,agrochem,76,+92-64-2471862-962,https://abdullahhaseeb.com
109,PK,Lahore,Big Feed (Pvt) Ltd (Big Bird Group),bigbird@bigbirdgroup.com.pk,feed,74,042 111 111 220,https://www.bigbirdgroup.com.pk
110,PK,Karachi,Ahmed Chemical Co.,zubair@ahmadchm.com,industrial,72,+92 21 32424383-5,http://ahmadchm.com
111,PK,Karachi,Lassani Traders,info@lassani.com,importer/trader,68,9221-2432420,
112,PK,Multan,The Edge Group,hr@edgegroup.com.pk,agri-input,65,0344-9411111,https://www.edgegroup.com.pk
113,PK,Sahiwal,Sadiq Feeds (Sadiq Group),mail@sadiqfeeds.com,feed,63,,https://sb.com.pk
114,TR,İstanbul (Esenler),BRP Kimya,info@brpkimya.com,feed,90,+90 212 438 54 55,https://brpkimya.com
115,TR,"Aksu, Antalya",Güner İmalat (GNS — Guner Nutri Solutions),info@gunerimalat.com,agri-input,85,0 242 462 16 18,https://gunerimalat.com/
116,TR,Istanbul,AS Kimya Sanayi ve Dış Ticaret A.Ş.,info@askimya.com,importer/trader,85,+90 212 675 05 39,https://www.askimya.com/
117,TR,İstanbul (Ataşehir),Ataman Kimya A.Ş.,info@atamankimya.com,importer/trader,82,+90 216 577 10 10,https://www.atamanchemicals.com
118,TR,"Döşemealtı, Antalya",Doğal Kimyevi Maddeler Zirai İlaçlar San. Tic. A.Ş.,dogal@dogaltrm.com,agri-input,80,(242) 258 16 62,https://www.dogaltrm.com
119,TR,Bursa (Nilüfer),Silber Kimya,info@silberkimya.com,industrial,78,+90 224 342 05 45,https://www.silberkimya.com
120,TR,Adana,Köseoğlu Tarım Ticaret ve Sanayi Ltd. Şti.,info@koseoglutarim.com.tr,agri-input,75,+90 322 324 10 00,https://www.koseoglutarim.com.tr/
121,TR,"Menderes, Izmir",Ünaldı Gübre (Ünaldı Organik Likid Gübre San. ve Tic. A.Ş.),info@unaldi.com.tr,agri-input,75,+90 232 281 14 95,https://www.unaldi.com.tr/
122,TR,İzmir (Kemalpaşa),Adagro Zirai İlaç ve Tarım Ürünleri,adagro@adagro.com.tr,agri-input,75,+90 232 478 02 45,https://www.adagro.com.tr/
123,TR,Istanbul,Veskim Kimyevi Madde İthalat İhracat A.Ş.,info@veskim.com,importer/trader,75,+90 212 283 10 17,https://veskim.com/
124,TR,Konya,Mineraller A.Ş.,bilgi@mineraller.com.tr,feed,70,+90 332 342 55 45,https://www.mineraller.com.tr/
125,TR,Adana (Sarıçam),Alde Kimya (Aldekimya),satis@aldekimya.com,agrochem,70,0322 329 03 22,https://www.aldekimya.com
126,TR,Kocaeli,Galva Chemical,info@galvachemical.com,industrial,68,0262 342 20 94,https://galvachemical.com.tr
127,TR,Adana,Erdoğanlar Gübre,iletisim@erdoganlargubre.com,agri-input,65,+90 322 428 87 45,https://www.erdoganlargubre.com/
128,TR,Antalya (Muratpaşa),Antalya Kimya,info@antalyakimya.com,importer/trader,65,(0242) 221 0 222,https://www.antalyakimya.com
129,TR,İzmir,Cesa Kimya,info@cesakimya.com.tr,agrochem,65,(232) 360-1475,https://cesakimya.com.tr
130,TR,İstanbul (Şişli),Yelken Kimya,info@yelkenkimya.com,agrochem,62,+90 212 343 34 95,https://yelkenkimya.com
131,TR,"Mustafakemalpaşa, Bursa",Bursa Gıda Yem (BGY Yem),info@bursagidayem.com,feed,60,0546 947 90 80,https://www.bursagidayem.com/
132,TR,Adana,Beyka Yem,info@beykayem.com,feed,60,0322 256 42 01,https://beykayem.com/
133,TR,İstanbul,CTF Premix,info@ctfpremix.com,feed,60,+90 543 637 88 69,https://www.ctfpremix.com/tr
134,TR,"Kartepe, Kocaeli",Atun Kimya,vural@atunkimya.com,industrial,60,0 554 333 42 86,https://atunkimya.com
135,TR,Konya,OMTAR TARIM,omtartarim@gmail.com,agri-input,55,0332 342 40 11,https://www.omtartarim.com/
136,TR,Malatya,Karaoğlan Tarım,info@karaoglantarim.com,agri-input,55,0 422 502 14 44,https://karaoglantarim.com
137,TR,Bursa (Osmangazi),Matlı Yem Sanayi ve Ticaret A.Ş.,matli@matli.com.tr,feed,55,0224 999 12 00,https://matli.com.tr
138,TR,Konya,Agrotar (Agrotar Tarımsal),info@agrotartarimsal.com,agri-input,50,(0332) 342 42 07,https://agrotartarimsal.com/
139,TR,Adana,Narova Tarım,info@narovatarim.com.tr,agri-input,50,+90 322 277 05 55,https://www.narovatarim.com.tr/
140,TR,Gaziantep (Şehitkamil),Evokem Kimya Sanayi,info@evokem.com.tr,industrial,50,+90 543 364 74 84,https://evokem.com.tr
141,TR,Gaziantep (Şehitkamil),Ayıntap Teknik Kimya (ATK),info@atkchem.com,industrial,50,+90 342 235 40 70,https://atkchem.com
142,TR,İstanbul (Tuzla),Cation Kimya,info@cationkimya.com,industrial,50,+90 544 626 77 84,https://cationkimya.com
143,TR,Konya,Bezirciler Tohumculuk,info@bezirciler.com,agri-input,45,+90 540 413 48 39,https://bezirciler.com
144,TR,İstanbul (Ümraniye),Chema Kimya,info@chemakimya.com,industrial,45,0 (216) 594 57 10,https://www.chemakimya.com
145,TR,Konya (Karatay),Ova Kimya,info@ovakimya.com,industrial,45,0553 120 06 72,https://www.ovakimya.com
146,TR,"Kahramankazan, Ankara",Teknoklas A.Ş.,info@teknoklasas.com.tr,industrial,42,+90 312 273 7 273,https://teknoklasas.com
147,AE,Dubai,Agro National Chemical Fertilizer Trading Co. LLC,info@agronational.ae,agri-input,95,+971-507-264-928,https://agronational.ae/
148,AE,Dubai (JAFZA South),Hazchem Chemicals LLC,admin@hazchem.ae,agrochem,92,04-3316422,https://www.hazchem.ae/
149,AE,Fujairah,Dubi Chem Marine International,dubichemical@gmail.com,importer/trader,90,+971 9 2242524,https://www.dubichem.com
150,AE,Dubai,U Distribution Company FZCO (UDC DMCC),info@udc-dmcc.com,importer/trader,68,+971 45605220,https://udc-dmcc.com/
151,AE,Al Ain,Al Ain Fodder Factory (AAFF),info@alainfodder.com,feed,68,+971 3 762 5777,https://www.alainfodderfactory.com/
152,AE,Dubai (Margham),Zabeel Feed (Zabeel Feedmill LLC),info@zabeelfeed.ae,feed,65,+971 4 282 7491,https://zabeelfeed.com/
153,AE,Ajman,Al Taher Chemicals Trading LLC (ATC),contact@altaherglobal.com,industrial,65,+971-565-151930,https://altaherchemicals.com/
154,AE,Sharjah,Gulf Feed Line Industry (Gulf Line Feed IND LLC),sales@gulffeed.com,feed,62,+971 52 455 2913,https://gulffeeds.com/
155,AE,Dubai / Sharjah,Chemway Chemicals,sales@chemwaychemicals.com,agrochem,60,+971 54 994 9584,https://chemwaychemicals.com/
156,AE,Dubai,Buoyancy General Trading LLC,sales@buoyancy.ae,agri-input,58,+971 50207 4451,https://buoyancy.ae/
157,AE,Dubai (JLT),Agrifields DMCC,info@agrifields.com,agri-input,55,,https://www.agrifields.com/
158,AE,Abu Dhabi (Kizad),OCET Gulf (Orginate Chemicals and Equipment Trading Ltd),info@ocetgulf.com,industrial,50,+971 2 491 7352,https://ocetgulf.com/
159,AE,Dubai (Jebel Ali Free Zone),Anglo Gulf FZCO,subramanian@anglogulf.ae,agrochem,50,+971552242938,https://anglogulf.ae/
160,AE,Fujairah,Fujairah Chemical LLC (RXSOL),fujairahchemical@gmail.com,industrial,48,+971 56 108 1115,https://fujairahchemical.com/
161,AE,Sharjah,Qamar Al Jazeera Marine Equipment Trading LLC,qamarajtrading@hotmail.com,industrial,48,+971 54 218 3786,https://qajtrading.com/
162,AE,Umm Al Quwain / Dubai / Abu Dhabi,Chemstock LLC,orders@chemstock.ae,industrial,45,+971 4 5787667,https://chemstock.ae/
163,AE,Dubai,Metito Utilities,info@metito.com,industrial,45,,https://www.metito.com/
164,AE,Sharjah (SAIF Zone),Palvi Power Tech Sales FZE,info@palvifze.com,importer/trader,45,+9715 6253 0840,https://www.palvifze.com/
165,SA,Dammam,Saudi Feed Premixes Co. (Saudi Mix),info@saudimix.com,feed,93,+966 13 8354970,https://www.saudimix.com
166,SA,Dammam,Alahmari Group,info@alahmari.com.sa,agri-input,92,+966 13 805 0039,https://www.alahmari.com.sa
167,SA,Jeddah,Agriculture Machinery & Materials Company (AMMC / Agrimatco),ammc.sa@agrimatco-me.com,agri-input,90,+966 12 4325652,https://www.ammc.com.sa
168,SA,Riyadh,Al Khumasia Company for Feed and Animal Products,info@khumasia.sa,feed,88,+966 11 419 1414,https://www.khumasia.sa/home_en.html
169,SA,Al-Kharj,AlWadi Poultry,info@alwadi-sa.com,feed,85,+966 55 5022465,https://alwadi-sa.com
170,SA,Al-Ahsa (Hofuf),Alyaseen Agricultural Company,info@alyaseenagri.com,agri-input,85,+966 13 5815588,https://www.alyaseenagri.com/en/home
171,SA,Riyadh,Al Masa Agriculture,info@almasaagri.com,agri-input,82,+966 55 5082665,https://almasaagri.com
172,SA,Riyadh (plant in Yanbu),Green Valley Fertilizer Company,info@greenvalley-sa.com,agri-input,78,+966 11 4192137,https://www.greenvalley-sa.com
173,SA,Riyadh,Trans Industrial Trading Company,sales@trans-industrial.com,importer/trader,68,+966 55 0252058,https://www.trans-industrial.com
174,SA,Jeddah,Chemtrade (The Saudi Company of Chemical Trading Ltd.),info@chemtrade.com,importer/trader,65,+966 12 6520000,https://chemtrade.com
175,SA,Dammam,Al-Jazira Water Treatment Chemicals,info@aljazira.com,industrial,62,+966 13 8034509,http://www.al-jazirachemicals.com
176,OM,Barka,Muscat and Barka Business Trading Chemical Co. (MBBT / Oman Chemical),omanchem.com@gmail.com,importer/trader,92,+968 9948 9269,https://omanchem.com
177,OM,Salalah (Raysut),Dhofar Cattle Feed Co. SAOG,info@dhofarcattlefeed.om,feed,85,+968 23219074,https://www.dhofarcattlefeed.om
178,OM,Barka,Sohar Poultry Company SAOC,info@soharpoultry.com,feed,80,+968 26987777,https://www.soharpoultry.com
179,OM,Muscat,Muscat Overseas Agriculture Company (MOAC),mog@muscatoverseas.com,agri-input,78,+968 21165700,https://muscatoverseas.com
180,OM,Al Khaboura,Oman Agri-Fertilizer Co LLC,sales@omanagrifertilizer.com,agri-input,75,+968 26802253,http://www.omanagrifertilizer.com
181,OM,Muscat (Al Mawelah South),UV Water Systems (Uniqueness View Trading & Contracting Co),info@waterfilteroman.com,industrial,48,+968 9763 7786,https://uvwater.biz
182,QA,Doha,Arab Qatari For Poultry Production,info@aqpoultry.com.qa,feed,88,+974 4472 9043,https://aqpoultry.com.qa/
183,QA,Doha,Orraj Trading and Services,sales@orraj.com,feed,85,+974 3393 3301,https://www.orraj.com/
184,QA,Doha (West Bay),Eco Agro Science for Trading,info@ecoagroscienceqatar.com,agri-input,82,+974 5510 8891,https://ecoagroscienceqatar.com/
185,QA,Doha,QADCO (Qatar Agricultural Development Company),info@qadco.com.qa,agri-input,80,+974 4499 5777,https://www.qadco.com.qa/
186,QA,Doha,Aalaf Qatar (Hassad Food subsidiary),info@aalafqatar.com.qa,feed,80,+974 7722 5502,https://aalafqatar.com.qa/
187,QA,Doha,Al Rayyan Agricultural,info@alrayyanagri.com,agri-input,76,+974 4468 6125,https://alrayyanagri.com/
188,QA,Umm Salal Mohammad,Mitras Trading Co. W.L.L. (Agri Qatar),info@mitraswll.com,agri-input,62,+974 4483 1482,https://www.mitraswll.com/
189,QA,Doha,Deluxe Trading Services WLL (Deluxe Chemicals),dlx-trading@dlxgroup.com,industrial,55,+974 4432 4925,https://deluxechemical.com/
190,QA,Doha,Behzad Trading Enterprises W.L.L.,info@behzadgroup.com,importer/trader,55,+974 4443 3236,https://behzadgroup.com/
191,QA,Doha,Oriental Trading Co. WLL (OTC Qatar),info@otcqatar.com,importer/trader,52,+974 4446 6333,https://otcqatar.com/
192,QA,Doha,Al Mukhtar Contracting & Trading Co. WLL,info@almukhtarqatar.com,industrial,50,+974 4455 2583,https://www.almukhtarqatar.com/
193,QA,Doha,Keeton Trading / KTC Chemicals,info@ktcchemicals.com,industrial,50,+974 5585 1485,https://ktcchemicals.com/
194,QA,Doha,GreenWTS (Green Water Treatment Solutions) Qatar,admin@greenwts.com,industrial,48,+974 7799 3009,https://www.greenwtsqatar.com/
195,QA,Al Wakra,Scarlet International Trading WLL,sales@scarletintl.com,industrial,45,+974 7763 8144,https://scarletintl.com/
196,QA,Al Khor,Agricompost,info@agricompost.qa,agri-input,45,+974 4431 7759,https://agricompost.qa/
197,KW,Jahra,Al-Maha Agricultural Co.,info@almahakw.net,feed,92,+965 500 00737,https://almahakw.net/en/
198,KW,Al Wafrah,"Feeds Kuwait (Feeds for Import, Export & Trading Co.)",info@feedskw.com,feed,82,+965 65057722,https://www.feedskw.com/
199,KW,Kuwait City,Ataa Al-Kuwait Company for Agricultural Supplies & Services,info@ataalkuwait.com,agri-input,80,+965 510 28672,https://ataalkuwait.com/en/
200,KW,Farwaniya,Kuwait United Poultry Company (KUPCO),info@kupco.net,feed,80,+965 2208-3901,https://kupco.net/
201,KW,Hawalli,Hasad Vet Trading Company W.L.L.,kw@hasad-vet.com,feed,76,+965 22 627 066,https://hasad-vet.com/
202,KW,Kuwait City,CISCO Trading Company W.L.L.,contact@ciscotrading.com,importer/trader,66,+965 22960125,https://ciscotrading.com/
203,KW,Ahmadi,Kuwaiti Distributor Company for Chemicals (KDC),info@kdckwt.com,industrial,52,+965 239 81598,https://www.kdccompany.com/
204,BH,Askar,Al Khalidia General Trading W.L.L. (AlKhalidia Holding Group),info@alkhalidiagroup.com,industrial,65,+973-17832244,https://alkhalidiagroup.com/
205,BH,Sitra,Bahrain Livestock Company B.S.C. (BLC),info@blscbh.com,feed,55,+973 17224662,
206,BH,Manama (Al Hoora),Chemfinity Corporation,info@chemfinitybh.com,industrial,50,+973 32002817,https://chemfinitybh.com/
207,BH,Manama,Safety Chemical Trading W.L.L.,info@safetychemical.com,importer/trader,42,+973 3318 8311,https://www.safetychemical.com/
