Match,Bulk,Category,Company,City,Phone,Email,Website,Buys
100,yes,Medical equipment supplier,Keemz Medical Equipments Trading LLC,"G2, Al Rigga Building, Near Clock Tower, Opp Port Saeed Masjid, Abu Bakr Al Siddiq Street",+971582110786,keemzdubai@gmail.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Al Wafer Medical Equipment and General Trading LLC,"Office 04, Opp Golden California Hotel, Naif, Deira",+971558211300,alwaferdubai@gmail.com,https://alwafermedicalequipments.com,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Accurate Medical Equipment,,+97143338273,wenceslaus@accuratemedicals.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Advance Medical Equipment Trading,New Industrial Area,+97167435919,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Beats Medical Equipment Trading LLC,"Office No. 109, Kasco Tower,
Al Qusais Industrial Area 3",+971565225437,sales@beatsmed.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Bloom Star Medical Equipment Trading LLC,"Sunaiya B 1106, Al Qusais",+97145704522,info@bloomstar.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,,Medical equipment supplier,Crowntech Medical and Laboratory Equipment LLC,"Office No 51, 1st Flr, A Block, Tawjeeh Bldg, M-9, Musaffah",+971505604590,info@crowntech.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier / Radiology / imaging,Faith Medical Equipment Trading LLC,"Office No. M-11, Next to Etislat Office, Al Reem Tower, Al Maktoum Road, Deira",+97142352112,Info@faithmedeq.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Future Island Medical Equipment Trading LLC,New Al Nahda 1,+97165676684,shery4328@gmail.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Gamma Medical Supplies LLC,"Off 1, Al Khor Plaza Bldg, Al Garhoud",+97142959822,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,High Star Medical Equipment Trading LLC,,+971506717847,highstardubai@gmail.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Honest Hands Medical Equipment Trading,Mussafah MW5,+97125575579,sales@honesthandsmedical.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,,Medical equipment supplier,Invention Vision Medical Requisites Trading LLC,Al Qasmiya,+97165223713,info@ivision.com.co,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Lifecare Medical Equipment Trading LLC,"Shop No.10, Bin Jarsh Building, Omar Bin Al Khattab St., Deira",+97145874760,sales@lifecarebiomed.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Medeon Medical Equipment Trading LLC,"Office #403, Al Sanabil building, Banyas square, Deira",+971527060105,info@medeonmed.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Megamed Medical Equipment LLC,"Shop No. 12, Binjarish Building,  Fish R/A, Deira",+97142386466,sales@megameduae.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,,Medical equipment supplier,Mokshed and Fahim Industrial Equipment and Spares Trading LLC,Dubai,+971581603285,mafies.ae@gmail.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Orient Medical Equipment and Supplies LLC,,+97125530400,info@orientmeduae.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Pakmed Medical Equipment Trading LLC,"Al Rigga, Deira",+971524501847,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Pentagram Scientific Equipment Trading LLC,"Office No: M-01, 131, Ali Khalifa Belaisha Building, Al Karama",+97142218827,sales1@pentagramuae.com,https://pentagramuae.com/,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Sheildify Security Equipment Trading LLC,"G-01, Khalifa BA Balila Bldg, Abu Hail",+971585542050,info@sheildify.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Tungsten Analytical Testing Equipment Trading LLC,"209A, Al Nakheel Al Gaith Building, Plot 218-870, Opposite to DCL, Al Karama",+971564020921,ajith@tungstenanalytical.com,http://www.tungstenanalytical.com/,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Wonder Life Equipment Trading LLC,"Wasl District Souq - B18 - R1004, 2 Al Maktoum Hospital Road, Naif , Deira",+971551364508,simon@enjoycare.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,York Medical Equipment Trading LLC,"Shop No.01, Industrial Area 18",+97165453103,sales@yorkmedical.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,A and Z Medical Equipment Trading,"204B, Nasseriya Bldg, Al Qusais Industrial Area 1",+97142672072,info@az-gt.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,,Medical equipment supplier / Medical laboratory / Healthcare,A Aras Medical Devices and Equipment CO LLC,"Al Ahbabi Building, Baghdad Road, Damascus Street, Al Qusais",+97142344457,info@arasgroup.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Advance Bioline Medical Equipment LLC,"Greece Cluster, International City, Warsan 1",+97145582451,sales@ablmehealth.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Advanced Healthcare Medical Equipment Trading LLC,"1903, Lake Central Tower, Marasi Drive, Business Bay",+97144547730,info@advanced-hc.com,http://www.advanced-hc.com/,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Al Arz Refrigeration Equipment Trading Company LLC,"Near Skyline College, Indl Area 3",+97165436904,omar-sales@alarzkitchen.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Al Fotune Medical Equipment Trading LLC,"Warehouse 6, Al Sajja Emirates Industrial City",+971501874784,fmetllc@gmail.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Al Hikma Medical Equipment Establishment,Al Ain,+97126333223,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Al Itqan Medical Supplies,Opposite RAK Hospital,+97172211606,itqanmedical@outlook.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Al Jawahir Medical Supplies LLC,"B 505, Bel Resheed Tower, Damascus Street, Al Qusais Industrial Area 3",+97142642005,info@ajmsuae.com,http://www.ajmsuae.com/,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,,Medical equipment supplier,Al Kashef Scientific and Laboratory Equipment,"309, Pyramid Centre, Opp Al Nasr Cinema, Karama",+97143369292,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Al Mansour Medical Supplies,"Opp Etisalat, Tourist Club Area",+97126746660,admin@mansour-medical.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Al Maqam Medical Supplies,"Al Maqam Building, Street 3 (community 622), Industrial area, Warsan 2",+97142628970,info@maqammed.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Al Mashriq Medical Supplies LLC,"Falcon Tower Building 16 floor, Al Nasr Street",+97126277223,amms@eim.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,,Medical equipment supplier,Al Mazroui Medical and Chemical Supplies,"Opp Hamariya Centre, Deira",+97142661272,admin.sales@almaz.net.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Al Modhish Medical Equipments,Dubai,+97142675819,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,,Medical equipment supplier,Al Muthathawerah Medical & Lab Equip.Trading Company LLC,Al Majaz 3,+97165373332,info@mutatwra.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,,Medical equipment supplier,Al Saada Medical Stores and Supplies,"Plot 29, M-9, Mussafah",+97125543105,alsaada7@gmail.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Al Sahel Medical Supplies Trading LLC,"Near Maktoum Hospital, Deira",+97142395981,smstmed1@eim.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Al Saleh Medical Equipment & Ambulance Suppliers,Al Qusais Indl Area 5,+97142674841,salehmed@emirates.net.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Al Saraya Medical Supplies,"Near Russian Embassy, Ziyani Area",0097142832133,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Al Shammas Medical Equipment,"12, Auto Centre Bldg, Port Saeed, Deira",+97142661157,shamamed@eim.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Al Tilawi Medical Supplies LLC,"Opp KFC, Airport Rd",+97126320170,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Al Wasfah Medical Supplies Trading,Garhoud,+97142364788,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Ameco Medical Equipment LLC,"212, Al Hai Bldg, Port Saeed Rd",+97142950300,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,,Medical equipment supplier,Arabian Medical and Scientific Laboratory Supplies Company LLC,"I/Change 3, Al Quoz",+97143384985,arabianmedical123@gmail.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,,Medical equipment supplier,Aras Medical Devices and Equipment Establishment,Dubai,+97142670302,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Arasca Medical Equipment Trading LLC,Deira,+97142298400,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,AstroMed Medical Equipment Trading LLC,"Shop.No 13, France Cluster Q-04, International City",+97142242749,info@astromeduae.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Aswar Medical Supplies Establishment,"Daratulmiya, Khalidiya",+97126312661,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Baniyas Medical Equipment Trading,"Warehouse #15, Warehouses Lands",+97165748290,bmedical@emirates.net.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Bin Ali Medical Supplies LLC,"Bhnd Emirates Gen Market, Hamdan St",+97126760555,contact@binalimed.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Biofoot Medical Equipment Trading LLC,"Opp City Centre, Deira",+97142958508,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Bioscience Medical Supplies LLC,"Near Post Office, Hor Al Anz",+97142625208,biosc@eim.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Coast Sands Medical Equipment,Khalidiya,+97126332258,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,,Medical equipment supplier,Coral Laboratories & Chemicals Trading LLC,"Warehouse No. S10, Behind UHL Sports, Al Qusais Industrial Area 3",+97142733907,corallab@eim.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,,Medical equipment supplier,DAB Medical Laboratory,"907, Grosvenor Business Tower, TECOM",+97144548413,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,,Medical equipment supplier,Dawn Pharmacy Trading,Dubai,+97143519319,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Dynamic Medical Equipment Centre LLC,"Shop No. 4 (Ground Flr), Building No. 73, Aradah St, Al Nahyan Camp",+97126794739,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Emirates Drugs And Medical Equipment Store,"CM-1, Damas Bldg, Rolla",+97165621010,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,,Medical equipment supplier,"ETACK Medical, Surgical Articles and Requisites Trading Co. LLC","2001, City Tower 2, Sheikh Zayed Road, Trade Center 1",+971564659375,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Frank Shields Medical Equipment,"Opp Dar Al Shifa, Defence Rd",+97125503044,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical equipment supplier,Frontier Medical Equipments LLC,Shk Zayed Rd,+97143884820,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,,Medical equipment supplier,Future Dental Instruments Trading LLC,"GR-89, New Al Safiya Bldg, Abu Hail Rd, Galadari R/A, Deira",+97142682641,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,,Medical equipment supplier,"Global Medical, Surgery Equipment and Material Trading","Near Emirates Plaza Hotel, Beach Rd",+97167470928,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
100,yes,Medical laboratory,Dentec (Dental Laboratory and Medical Supplies) LLC,"803, Corniche Plaza Bldg, Corniche Rd",+97165722092,,,Printable CD-R / Printable DVD-R
100,yes,Medical laboratory,Inventcare Medical Equipment Trading LLC,Abu Hail,+971563683076,,,Printable CD-R / Printable DVD-R
98,,Laboratory,Medical Diagnostic & Imaging Centre Polyclinic (Medic),"Level 2, Hamsah Commercial Complex, Khalid Bin Al Waleed Road",+97143885000,,,Printable CD-R / Printable DVD-R
98,yes,Radiology / imaging,Widex Medical Equipment,"702, Saeed Tower 2, Sh Zayed Rd",,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
98,yes,Radiology / imaging,Tawam Equipment Trading Establishment,Qusais Indl Area 1,+97142673532,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
98,,Radiology / imaging,MRI Bearings Auto Spare Parts & Components Trading LLC,"Shop No.13, Beside Deira
Park Hotel, Al Nakhal Building No:1, Deira",+97145913565,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,yes,Medical equipment supplier,Edrees Medical Prosthetic and Orthotic Center FZ LLC,Dubai,+97144559341,info@edreesmedical.net,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Mobilis Medical Manufacturing LLC,"Showroom Number 13 and 14, Green Community Village, DIP 1",+97148821978,info@mobilis.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Aden Medical Equip Tr,"2619, City Centre Building, Buhaira Corniche, Al Majaz 1",+97165531592,aji@adenmedical.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,yes,Medical equipment supplier,Right Face General Trading LLC,"Office 410, 4th Floor, Al Rubaya Building, Damascus Street, Al Qusais Industrial Area 2",+97142386611,sales@rightface.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Euyuncare Vision & Equipment Solution,,+971502140950,zain.ali@euyuncare.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,yes,Medical equipment supplier,Globex WA General Trading LLC,"Office Number 12F Corniche Building, Best Home 12F, Qroun At Tufouh St,Al Hisn 5",+971542209755,info@glbx.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,yes,Medical equipment supplier,Gosafe General Trading LLC,"Shakha Mahara Building, Al Qusais",+971585394030,gosafegt@gmail.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,KHN Trading LLC,"Office Number 2005, Tabarak Tower, Al Mamzar",+97142292324,Info@khn.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,yes,Medical equipment supplier,Matchwell International Trading FZC,Ajman,+97167473005,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,yes,Medical equipment supplier,MED We Trading FZC,Ajman,+971522334310,info@med-we.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,yes,Medical equipment supplier / Healthcare,Medicare General Trading,"5, Al Fairoos Bldg 14, Old Maktoum Hospital Rd, Deira",+97142214249,medicaregt@gmail.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,yes,Medical equipment supplier,Medteo General Trading LLC,Ajman,+971505906272,info@medteo.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,yes,Medical equipment supplier,MRD General Trading FZC,Ajman,+971526899089,info@mrdvehicles.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Toulin Medical Company,"Office No. M01, Al Teejan Street, Al Zahiyah",+97125855311,info@toulinmedical.com,https://toulin.ae/,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Tropical Pharma,"The Iridium Building, Umm Suqeim Road, Al Barsha 1",+971545237040,pharmatropical@gmail.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,yes,Medical equipment supplier,3D Dev and Distribution FZCO,"LOB 21, Jebel Ali Free Zone",+97148873050,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Abu Dhabi International Medical Services,"903, Al Khor Plaza, Garhoud, Sh Rashid Rd",+97142954854,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Abu Dhabi Medical Industries,"M 43, Plot 125",+97125513422,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,yes,Medical equipment supplier,Agfa Healthcare,Dubai,+97145631750,melanie.bahala@agfa.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Al Abraj Medical Services LLC,,+97142582843,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Al Anwar Medical Equip Trdg Co LLC,"Warehouse #68, Al Qusais Industrial Area #3",+97142946270,alanwarmedequ@gmail.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,yes,Medical equipment supplier,Al Araa General Trading Co,"212, Al Mulla Bldg, Al Muteena Rd, Deira",+97142681213,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Al Burak Medical Services,"M Flr, Abdullah Bin Sinan Bldg, Khalidia",+97126664414,gleen@alburak.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Al Maa Medical Equip Trad LLC,Industrial Area 1,+97165397112,almaamedical@gmail.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,yes,Medical equipment supplier,Al Muhairy General Trading Company LLC,"17th Floor, UAQ Bank Bldg, Hamdan St",+97126772040,muhairy4@eim.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,yes,Medical equipment supplier,Al Nadhrah Cosmetics and Medical Equipments Trading,"Office No-406, Building 11, Damascus Street, Al Qusais",+97142674016,kefah@alnadharah.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Al Noor Medical Co,"Store 294 A, Meena W/House Area, Mina Zayed",+97126732229,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Al Razi Pharmaceuticals Co,"Building 2, Gulf Diagnostic Centre, Al Khaleej Al Arabi Street",+97126730057,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Al Saadah Medicine And Medical Eqpt Store LLC,,+97142588566,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Al Seeb Trading LLC,"M 17, Mussafah Indl Area",+97125556697,seeb_dxb@emirates.net.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Al Shoumoukh Trading Establishment,"Al Mansoor Tower, Salam St",+97126429906,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Al Thabat Trading Establishment,"201, RAK Poultry Bldg, Old Mazda Rd, Tourist Club Area",+97124459213,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Al Zahrawi Medical Services Co,"1st Floor, Ford Middle East & Africa Building, Al Wasl Office Complex, Sheikh Zayed Road, Downtown",+97142622728,info@zahrawigroup.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,yes,Medical equipment supplier,Al-Nozha Medical FZE,SAIF Zone,+97165575727,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Amreet Trading Co,"45, Golden Tower Bldg, Corniche Rd",+97126263711,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Apple Med Trading LLC,Deira,+97142520481,suhail@applemed.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier / Healthcare,Arabian Home Health Care LLC,"Al Safa, Sh Zayed Road",+97143351230,dxbshowroom@arabianhomecare.com,https://www.arabianhomecare.com,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Arabian Millenium Trading,"M Flr, Al Moosa Grp Bldg, Umm Hureir Rd",+97143345455,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,yes,Medical equipment supplier,Aspen Healthcare FZ LLC,"1904, Tower A, Business Central Towers, DMC",+97144393455,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Atlas Medical LLC,"1st Floor 103, Amman Street Opp. Lulu Village ,Muhaisnah 4, Al Qusais",+97142554522,atlas@atlasmedical.ae,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Atrium Medical Care LLC,"86 Amman St, Al Qusais Industrial Area 5",0097142832133,info@atriumcare.com,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Babil Pharmacy,"503, National Bank of Oman Bldg, Najda St",+97126349500,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Beena Trading Establishment,Dubai,+97142674700,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Beme Trading LLC,"Office 3107, The Citadel Tower, Business Bay",+97144522272,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,yes,Medical equipment supplier,Big Sea General Trading LLC,"1203, B Wing, Belresheed Tower, Al Qusais Indl Area 3",+97142588897,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Big Sea Medical,Al Ghusais,+97142588879,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
96,,Medical equipment supplier,Bin Naeem Hospital Supply Co,"601, Arabian Co Bldg, Old Airport Rd",+97124432464,,,Printable CD-R / Printable DVD-R / Printable Blu-ray (BD-R)
