Product,Role,Company,Country,City,Contact Person,Email,Phone,Website,HS Code,Indicative Price,Notes
Cold asphalt (bagged cold-mix),Iran seller,Sazeh Mart / Sazemart (سازه مارت),Iran,Tehran — Chahardangeh Industrial Town,,info@sazemart.com,+98 912 471 2355 (sales) / +98 21 9109 6715 (factory),https://sazemart.com,2715.00,"~350,000 Toman (listed unit ""ton"" on product code SM521705 — likely per-bag; confirm with seller as it varies by delivery/volume)",Operates own factory + Tehran warehouse; one of the few with a published price and full technical spec. Strong domestic manufacturer; export not stated on page.
Cold asphalt (bagged cold-mix),Iran seller,ATDM Co. Ltd,Iran,"Tehran, Iran (HQ; export offices Ankara/Istanbul/Dubai)",,,+90 312 514 70 55 (Ankara) / +971 4 236 98 30 (Dubai) / WhatsApp +971 54 303 3231,https://atdmco.com,2715.00 (site states 27150000),,"Best fit for cross-border sourcing: explicitly export-oriented Iranian bitumen/cold-asphalt supplier, MOQ ~20-24 MT FCL, full export docs (invoice, PL, MSDS, COA, BL). Also operates gilsonite-bitumen.com. Contact via web form / phone; no public email. ExportHub profile lists it as Tehran, Iran."
Cold asphalt (bagged cold-mix),Iran seller,"RABIT / Raha Bitumen Co. — brand ""Bitumix R""",Iran,Iran (production; export offices Dubai & Ankara),,info@rahabitumen.com,+971 56 281 7292 (Dubai) / +90 312 544 5481 (Ankara),https://rahabitumen.com,2715.00 (bagged cold mix); emulsion ~3823/2715,,Iranian bitumen producer/exporter that makes both the cold-mix emulsion feedstock and a bagged cold-mix product — useful for a sourcing lane. Iran factory not named on this page; buyer contact runs through UAE/Turkey export offices. Verify Iran production plant directly.
Cold asphalt (bagged cold-mix),Iran seller,Mr Asphalt / Aghaye Asphalt (آقای آسفالت),Iran,"Tehran / Karaj (also serves Damavand, Pardis, Rudehen)",,,+98 912 213 1176,https://mrasfalt.com,2715.00,,"Primarily a Tehran/Karaj-region supplier & installer of bagged/bulk cold asphalt rather than a confirmed manufacturer-exporter; useful as regional domestic supply, not for direct export. Price on request."
Cold asphalt (bagged cold-mix),UAE seller,Black Rock Bitumen,United Arab Emirates (UAE),Dubai,,sales@blackrockbitumen.com,+971 54 348 2758,https://blackrockbitumen.com,2715,,"UAE-based bitumen exporter/trader (Sheikha Fathima Bldg, Al Raffa, Bur Dubai). Sources from Gulf refineries, packages and exports finished cold-patch product. Clearest on-target match: a dedicated bagged cold-patch product with resolvable site + address + contact. HS 2715 is the applicable heading (not company-published)."
Cold asphalt (bagged cold-mix),UAE seller,Bituroll (Modified bituminous membrane manufacturer),United Arab Emirates (UAE),Sharjah,,info@bituroll.com,+971 55 840 5476,https://bituroll.com,2715,,"Real UAE manufacturer (Office 1007, Mohammad Al Mulla Tower, Al Nahda, Sharjah). Core business is polymer-modified bituminous waterproofing membranes; markets cold patch/cold mix asphalt as a product line. Website SSL certificate is currently expired but the domain resolves. HS 2715 is applicable heading, not company-published."
Cold asphalt (bagged cold-mix),UAE seller,Gulf Bitumen,United Arab Emirates (UAE),Dubai,,info@gulfbitumen.com,+971 50 363 5179,https://gulfbitumen.com,2715,,"UAE-based bitumen trader/exporter (Dubai; ships ex-Jebel Ali). Dedicated cold-mix-bitumen page. Trader/distributor rather than manufacturer. HS 2715 is applicable heading, not company-published."
Cold asphalt (bagged cold-mix),UAE seller,ATDM (Ayine Tejarat Darya Mehregan),United Arab Emirates (UAE),Dubai,,,+971 4 236 98 30,https://gilsonite-bitumen.com,2715,,"Bitumen supplier with a Dubai sales office (3509 Burlington Tower, Business Bay) plus Iran (sourcing) and Turkey (Ankara/Istanbul) offices; also uses atdmco.com. CAUTION: the exact same Dubai address + phone (+971-4-2369830) is shared by Basekim, Treeq/3Q and Raha Bitumen — appears to be a shared/virtual office cluster, so treat the Dubai presence as a trading front rather than a factory. Cold asphalt in 25kg bags is clearly on-target. HS 2715 is applicable heading, not company-published."
Cold asphalt (bagged cold-mix),UAE seller,Basekim,United Arab Emirates (UAE),"Dubai (office); HQ Ankara, Turkey",,,+971 4 236 98 30,https://basekim.com,2715,,"Turkish supplier with a Dubai office (No.3509 Burlington Tower, Business Bay). Same Dubai address/phone as ATDM/Treeq/Raha (shared virtual-office cluster). Ships to UAE/MENA. Included as a UAE-serving trader, not a UAE manufacturer. HS 2715 is applicable heading, not company-published."
Cold asphalt (bagged cold-mix),UAE seller,"Al Bunnia Contracting, Trading & Production of Raw Materials LLC (brand: Albenya / CAS-R25)",United Arab Emirates (UAE),"UAE branch (HQ Muscat, Oman)",,info@albenya.com,+968 9658 7970,https://albenya.com,2715,,"Product (CAS-R25 in 25kg bags) is an exact match for the target, but the manufacturer is Oman-headquartered (Muscat) with regional branches including UAE — NOT UAE-origin. Phone listed is the Oman HQ. Included because it directly serves the UAE market with the specified product; confidence set uncertain on the UAE-supply-side qualification. HS 2715 is applicable heading, not company-published."
Rubber tiles (gym / outdoor),Georgia buyer,Sports Structures (Sports-Structures Ltd),Georgia,Tbilisi,,,+995 32 223 91 11; +995 595 27 87 87,http://www.sportsstructures.ge,4016.91,,"Strongest fit. Direct installer/buyer of vulcanized rubber sports surfacing and tiles for tracks and outdoor courts. Listed as 'Sports Ground Contractors' at Digomi, 11 Ljubljana St., Floor 2."
Rubber tiles (gym / outdoor),Georgia buyer,ENGO Caucasia (ENGO Group),Georgia,Tbilisi,,sales@engo.ge,+995 591 192 229,https://engo.ge,4016.91,,"Builds multi-sport and play areas; natural buyer of rubber safety tiles/surfacing for surrounds and multipurpose zones. Address: 7 Tsotne Dadiani St., Karvasla Business Center. Founded 2017."
Rubber tiles (gym / outdoor),Georgia buyer,Gorgia (BMC Gorgia LLC),Georgia,"Batumi (HQ), stores in Tbilisi and across Georgia",,,,https://www.gorgia.ge,4016.91,,"Largest building-materials importer/retailer in Georgia and its BMC group imports flooring. Prime distributor target for imported rubber flooring tiles, though rubber-tile purchasing not individually confirmed."
Rubber tiles (gym / outdoor),Georgia buyer,BERS-Geo (BERS LLS),Georgia,Batumi,Denis Dragomirov (Director),,+995 557 66 43 90,http://www.teohim.ru/pred/gruziya/,4016.91,,"Rubber-flooring installer in Georgia (founded 2019); buys/uses rubber crumb and tiles. Note: also produces its own crumb coverings, so partly a competitor. No standalone website found; listed via TeoKhim's Georgia representative page. Address: 8/71 Angisa St., Batumi 6010."
Rubber tiles (gym / outdoor),Georgia buyer,Millennium Fitness Georgia (MFG),Georgia,Tbilisi,,sale@mfg.ge,+995 599 26 09 30,https://www.mfg.ge,4016.91,,"Equips gyms across Georgia; a likely buyer/reseller of gym rubber flooring tiles as part of fit-out packages. Address: Digomi, 7 Robakidze Ave."
Rubber tiles (gym / outdoor),Georgia buyer,Xtreme,Georgia,Tbilisi,,,+995 599 03 03 14; +995 32 239 79 99,https://www.xtreme.ge,4016.91,,"Sells gym/fitness equipment; potential reseller/buyer of gym rubber flooring for home and commercial gyms. Address: Digomi, 85 Beliashvili St. Website resolution not directly confirmed by fetch (bot-blocked)."
Rubber tiles (gym / outdoor),Georgia buyer,Champions Academy,Georgia,Tbilisi,,,+995 32 205 11 00,https://champ.ge,4016.91,,"End-user operator of gyms, training halls and courts; buyer of rubber gym/sports flooring for its facilities (Chugureti district)."
Rubber tiles (gym / outdoor),Georgia buyer,Leadersport Arena,Georgia,Tbilisi,,,+995 32 211 22 21,https://leadersportarena.ge,4016.91,,End-user sports/fitness complex in Saburtalo; buyer of rubber gym/sports flooring for training areas.
Rubber tiles (gym / outdoor),Iran seller,Geranool Industrial Group (مجموعه صنعتی گرانول),Iran,"Karaj (Kamalshahr), Alborz",,info@geranool.com,+98-26-34711678 / +98-919-3672509,https://geranool.com,4016.91,,"Working Persian site, full contact details verified by direct fetch. Directly makes rubber-granule gym/playground floor tiles (core target product). Domestic-focused with stated import-substitution/export ambition. Persian only, no English page."
Rubber tiles (gym / outdoor),Iran seller,Alvand Kafpoosh (الوند کفپوش),Iran,Qarchak / Varamin (Tehran province),Ms. Miri (خانم میری),,+98-21-66577354,https://alvandkafpoosh.ir,4016.91,,Working site verified by direct fetch; named sales contact and phone. Manufacturer (not reseller) of recycled-rubber gym floor tiles - strong fit for HS 4016.91. Prices not published; email only via contact form.
Rubber tiles (gym / outdoor),Iran seller,Kafpoosh Granool Shahr (کفپوش گرانول شهر),Iran,Iran (Tehran area),,,09981415164 / 09981415163,https://kafpooshshahr.com,4016.91,,"Live site (indexed, product pages resolving) though fetch returned a transient 500. Self-describes as one of Iran's first/largest producers AND exporters of rubber-granule flooring - good fit for target product. Exact city not stated on pages seen."
Rubber tiles (gym / outdoor),Iran seller,Denafoam (دنافوم),Iran,Tehran,,info@denafoam.com,+98-21-33992030,https://denafoam.com,4016.91,,"Working site with online store, verified by direct fetch; email and Tehran address confirmed. Product mix spans rubber tiles and EVA foam, so confirm the specific rubber-tile line vs. foam. Multilingual nav but export terms not stated."
Rubber tiles (gym / outdoor),Iran seller,Nik Foam / Nik Ava Foam & Rubber (نیک فوم),Iran,Iran (not specified on site),,,09916300486,https://www.nikfoam.com,4016.91,,"Working site verified by fetch; states it exports tatami/foam and rubber products to neighboring countries. One of the older foam/rubber makers. Rubber-granule flooring is one line among many foam products; city not published, no email listed."
Rubber tiles (gym / outdoor),Iran seller,Foamiran Group,Iran,Tehran (office) / Malard (plant),,sales@foamiran.com,+98-21-54917000,https://foamiran.com/en/tatami-foam-flooring/,4016.91,,"Verified working site WITH an English section and explicit export terms (FCL/FTL/air) - the most export-ready contact of the set. Caveat: core product is EVA foam tatami (HS ~3918), not vulcanized rubber; only their granular line matches 4016.91. Good if buyer will also take foam tatami."
Rubber tiles (gym / outdoor),Iran seller,Azaran Lastic Asia Ltd (آذران لاستیک آسیا),Iran,"Tabriz, East Azarbaijan",,,+98-914-226-4889,,4016.91,,"Real registered manufacturer (est. 2011) listed on Iranian B2B directory Jooyeshgar; described as an active exporter of gym flooring to neighboring countries - strong lane fit. CAUTION: their former site azaranlaco.com now shows a 'domain for sale' parking page, so verify the company still trades before engaging. Mobile/WhatsApp from listing."
Rubber tiles (gym / outdoor),Iran seller,Behin Foam Gostar Mad (بهین فوم گستر ماد),Iran,Tehran (Shams Abad Industrial Park),Mr. Karami (آقای کرمی),,+98-912-172-4505,,4016.91,,"Industrial-park factory with ISO 9001 and stated annual capacity; makes granule (rubber) flooring alongside foam mats. No own resolvable domain found - only a vendor profile on the SportMall directory, so treat contact via that channel. Export terms not stated."
Rubber tiles (gym / outdoor),Iran seller,Spad Iranian (تولیدی اسپاد ایرانیان),Iran,Tehran,,,,,4016.91,,"Real, established sports-flooring maker with a stated Persian Gulf export history (good lane relevance). Downgraded because its cited domain spadiranian.ir does NOT resolve and no phone/email was recoverable - contact info would need to be sourced before use. Listed via SportMall directory."
Rubber tiles (gym / outdoor),UAE seller,Terrain Floorings (Urban Terrain Sport Equipments LLC),United Arab Emirates (UAE),"Dubai (HQ Abraj-Hor Al Anz East); production/branches in Ras Al Khaimah, Sharjah, Ajman",,inquiry@terrainfloorings.com,+971 4 263 2332 / +971 55 325 2253,https://terrainfloorings.com/,4016.91,,"Strongest supply-side match: genuine UAE factory operating since 1994, exports to GCC, Australia, USA, UK. Makes exactly the gym/outdoor vulcanized-rubber tile the lane needs."
Rubber tiles (gym / outdoor),UAE seller,M.V. Rubbers FZE,United Arab Emirates (UAE),"Ras Al Khaimah (WFZ-03-02, Al Jazeera Al Hamra Free Zone)",,,+971 55 290 8220,https://www.mvrubbers.com/,4016.91,,"Confirmed manufacturer via company site plus multiple UAE directories (atninfo, aiwa, Kompass). Free-zone factory in RAK = true production/export base. Email exists on contact page but not captured literally; phone verified."
Rubber tiles (gym / outdoor),UAE seller,Elji International LLC (Elji Rubber),United Arab Emirates (UAE),Sharjah (King Faisal Street),Paresh Purushothaman (Managing Director),,+971 6 575 2180 / +971 50 383 3577,https://rubbertilesdubai.com/,4016.91,,"Real manufacturer with a physical Sharjah address and named leadership; also supplies the raw EPDM/TPV granule feedstock for rubber tiles. Email shown on site but was masked in fetch, so left blank; phones verified."
Rubber tiles (gym / outdoor),UAE seller,Zayaanco Trading (Al Zayaan Trading),United Arab Emirates (UAE),"Sharjah (Head Office, P.O. Box 525294); branches in Dubai, Abu Dhabi, Al Ain, RAK, Fujairah, Ajman, UAQ",,info@zayaanco.com / purchase@zayaanco.com,600 50 4004 / +971 6 569 1757,https://www.zayaanco.com/,4016.91,,"Broad UAE footprint with dedicated purchase email, useful for sourcing at volume. Positions as manufacturer/supplier; verify factory vs. import share on first contact."
Rubber tiles (gym / outdoor),UAE seller,Fab Floorings (Fab Gulf Trading Co. LLC),United Arab Emirates (UAE),"Dubai (Prime Tower, Business Bay)",,info@fabfloorings.ae,+971 55 224 4380,https://fabfloorings.ae/,4016.91,,"18+ years, real Dubai company, supplies across UAE/KSA/Kuwait/Oman. 'Manufacturer' claim is likely trader+installer rather than own factory, hence 'likely'. Good for finished-tile sourcing."
Rubber tiles (gym / outdoor),UAE seller,Elaf Rubber,United Arab Emirates (UAE),Dubai (Al Fajer Business Centre),,,+971 50 269 1600,https://elafrubber.com/,4016.91,,"Distributor (does not install directly, works through partners) covering UAE, wider Middle East and Africa. Useful as a trading channel rather than a factory. Email on site was masked; phone verified."
Rubber tiles (gym / outdoor),UAE seller,Floor Land LLC,United Arab Emirates (UAE),"Dubai (Warehouse 64, Al Quoz Industrial 3)",,info@floorland.ae,+971 50 293 3585,https://floorland.ae/,4016.91,"From AED 90-120 per tile (published starting prices, e.g. Grey Robust AED 120, Ash Urban AED 90)",Trader/installer with a real Al Quoz warehouse and one of the few sites publishing indicative tile prices - good pricing benchmark. Sourcing/distribution rather than manufacturing.
Pour-in-place rubber flooring,Georgia buyer,ENGO Caucasia (ENGO Group),Georgia,Tbilisi,,sales@engo.ge,+995 591 192 229,https://engo.ge,4002/4004 (EPDM/SBR granules); 3909 (PU binder),,"Established Tbilisi sports-surface contractor (since 2017), positions itself as official distributor of international sports brands in Georgia. Strong fit as an installer/buyer of pour-in-place systems for tracks and courts."
Pour-in-place rubber flooring,Georgia buyer,Comfort Plus (Comfort+),Georgia,"Tbilisi (Agmasheneblis 12km, Giorgi Papashvili St.)",,comfortplus.ge@gmail.com,+995 595 60 11 88 / +995 599 54 55 73,https://comfortplus.ge,4002/4004 (EPDM/SBR granules); 3909 (PU binder),,"Runs a dedicated rubber-surface product line plus full installation service (site visit, assessment, laying). Direct end-buyer/user of EPDM/SBR granules + PU binder. Alt number 596 89 90 90 also seen in listings."
Pour-in-place rubber flooring,Georgia buyer,Bauflexy,Georgia,Tbilisi (106 Akaki Beliashvili St.),,info@bauflexy.ge,+995 32 204 88 84,https://www.bauflexy.ge,4002/4004 (EPDM/SBR granules); 3909 (PU binder),,Established Tbilisi flooring distributor already selling rubber/elastic surfaces into sports and healthcare facilities; a channel/importer buyer for rubber-granule and PU-binder systems rather than a jobbing installer.
Pour-in-place rubber flooring,Georgia buyer,Sports Structures (Sports-Structures Ltd),Georgia,Tbilisi,,,,http://www.sportsstructures.ge,4002/4004 (EPDM/SBR granules); 3909 (PU binder),,"Has a dedicated product page 'Rubber surface for running tracks & multi-purpose grounds' - exactly the target product. Website resolves but blocks automated scraping, so phone/email must be taken from the site's contact form directly."
Pour-in-place rubber flooring,Georgia buyer,Polyflex 2015,Georgia,Tbilisi,Alexandre,,+995 577 02 45 45,,4002/4004 (EPDM/SBR granules); 3909 (PU binder),"~28-63 GEL/m2 installed (approx USD 10-23/m2), indicative from comparable Tbilisi pour-in-place listings","Specialist wet-pour rubber installer (5+ years), verified seller on ss.ge; same phone/contact 'Alexandre' appears on home.ge listing. Core buyer of EPDM/SBR granules + PU binder. No standalone website - reachable via Georgian classifieds and phone."
Pour-in-place rubber flooring,Georgia buyer,ALL-P Group - Flooring Technology,Georgia,"Tbilisi (Saburtalo/Vedzisi, 13 Mgaloblishvili St.)",,,+995 32 237 47 37 / +995 533 333 352,https://floor.ge,4002/4004 (EPDM/SBR granules); 3909 (PU binder),,"Listed in yell.ge polymer-floors category as providing sports-ground services alongside flooring - a plausible installer/buyer. Caution: the floor.ge HTTPS certificate is currently expired, so verify the site is live before outreach."
Pour-in-place rubber flooring,Iran seller,Imen Polymer Chemie Co. (IPC),Iran,Tehran,,ipc.trade@imenpol.com,+98 21 57325 (switchboard),https://imenpol.com,3909 (PU binder),,"Est. 2003, full English site with a dedicated blog on 'polyurethane adhesive for playground flooring.' States it sells into domestic and international markets. Best-verified lead and the natural binder supplier to pair with any granule source. Address: North Sohrevardi St, Tehran."
Pour-in-place rubber flooring,Iran seller,Bazi Afarin (Bazi Afarin sports flooring),Iran,"Karaj (Kamalshahr, Alborz)",,info@baziafarin.com,09916300486 / 021-28426780,https://baziafarin.com,4002/4004 (granules) + 3909 (PU binder),,"Closest exact match to 'pour-in-place / wet-pour' (multi-stage on-site application described). CAUTION: shares mobile 09916300486 with Nik Foam and a 021-2842x landline prefix with Novin Foam - these are likely affiliated brands in the Kamalshahr cluster, not independent suppliers."
Pour-in-place rubber flooring,Iran seller,Nik Foam,Iran,Karaj / Kamalshahr (unconfirmed),,,09916300486,https://nikfoam.com,4002/4004 (granules) + 3909 (PU binder),"Rolls, per m2 (approx): 4mm ~710,000 IRR toman; 5mm ~880,000; 6mm ~1,080,000; 7mm ~1,200,000; 8mm ~1,350,000 (~US$9-17/m2, rate-dependent)","Explicitly states it EXPORTS to Iraq, Kazakhstan, Tajikistan and GEORGIA - directly relevant to the Iran->Georgia sourcing lane. Prices published in toman. Shares phone with Bazi Afarin (likely same operator/brand family)."
Pour-in-place rubber flooring,Iran seller,Novin Foam,Iran,"Karaj (Kamalshahr + Qazalhessar, Alborz)",,info@novinfoam.com,+98 21 28421699 / +98 912 8671161,https://novinfoam.com,4004 (recycled granules) + 3909 (PU binder),,"Producing granular flooring 'at scale since the early 1990s' and states it exports to neighboring countries. Uses recycled crumb (SBR) rather than virgin EPDM. Shares a 021-2842x prefix with Bazi Afarin - possibly affiliated. Kamalshahr, Karaj cluster."
Pour-in-place rubber flooring,Iran seller,Geranool (Foam & Rubber Industrial Group),Iran,"Karaj (Kamalshahr, Alborz)",,info@geranool.com,026-34711678 / 0919-3672509,https://geranool.com,4002/4004 (granules) + 3909 (PU binder),,"Self-describes as a granule/flooring manufacturer selling from the factory. Same Boulevard Shora, 4th St, Kamalshahr address zone as Novin Foam/Bazi Afarin - part of the same industrial cluster; treat as a distinct brand but verify independence before ordering."
Pour-in-place rubber flooring,Iran seller,Samin Polymer (Samin Polymer),Iran,"Karaj (Kamalshahr, Alborz - Alborz Science & Technology Park)",,,026-34904972 / 026-34905012,https://saminpolymer.com,4002/4004 (granules) + 3909 (PU binder),"from ~730,000 IRR toman per m2 (~US$9-14/m2), varies by type/thickness","Based in a science/tech park, uses German PU adhesive per site; markets 5-year warranty, odor-free after 48h cure. Appears domestically focused (no explicit export claim). Toman price published."
Pour-in-place rubber flooring,Iran seller,Taharok Sazan Ideh,Iran,Tehran,,info@taharoksazan.com,021-65534604 / 09123005619,https://taharoksazan.com,4002/4004 (granules) + 3909 (PU binder),,Tehran-based playground-flooring maker (tiles/mats rather than confirmed on-site wet-pour). Real contact set incl. WhatsApp. Domestic focus; no export claim found. Include as a genuine granule-flooring producer to shortlist and qualify.
Pour-in-place rubber flooring,UAE seller,Elji International LLC,United Arab Emirates (UAE),Sharjah,,,+971 6 575 2180 / +971 50 383 3577,https://rubbertilesdubai.com/,4002 / 4004 (granules),,"Strongest true manufacturer lead: explicitly claims to be the only EPDM rubber-granule MANUFACTURER in the UAE, operating since 2015 (not just a trader). Own factory + resolvable site. Email was masked on the page so left blank; phone/address confirmed."
Pour-in-place rubber flooring,UAE seller,Golden Safron Tech Contracting LLC,United Arab Emirates (UAE),Sharjah (Muweilah),,sales@reachgst.com,+971 50 698 9706,https://www.reachgst.com/,3909.50 (PU binder) / 4002 (EPDM),,"Rare UAE source that supplies BOTH the PU binder and the EPDM granule side of a wet-pour system. Trading since 2007; exports across UAE, Oman, Qatar, Saudi, Kuwait, Bahrain. Note: brand 'Golden Safron' trades on the reachgst.com domain - confirmed via own contact page."
Pour-in-place rubber flooring,UAE seller,Fortune Emirates General Trading LLC,United Arab Emirates (UAE),Sharjah,,sales@fortuneemirates.com,+971 6 563 8745,https://fortuneemirates.com/,4002 (EPDM/SBR) / 3909.50 (PU binder),,"Genuine raw-materials trading house on Buhaira Corniche, Sharjah - good for bulk granule + binder sourcing rather than turnkey surfacing. Own website with dedicated rubber product line confirmed."
Pour-in-place rubber flooring,UAE seller,Fab Gulf Trading Co. LLC (Fab Floorings),United Arab Emirates (UAE),Dubai,,info@fabfloorings.ae,+971 55 224 4380,https://fabfloorings.ae/,4002 (EPDM) / 4004 (SBR/recycled),,Dedicated rubber-granule supply page; positions as supplier/manufacturer for UAE climate. Good granule-only sourcing option. Contact confirmed on own site.
Pour-in-place rubber flooring,UAE seller,Gebal Group,United Arab Emirates (UAE),Abu Dhabi / Dubai,,,+971 2 446 4684 (Abu Dhabi) / +971 4 451 9691 (Dubai),https://gebalgroup.com/,4002 / 4004 + 3909 (installed system),,"Established GCC installer/supplier (claims 40+ yrs, 2,500+ projects) with offices in Abu Dhabi, Dubai, Doha, Riyadh. Strong on spec compliance (EN1177, UAE thermal cycling). No public email found; multiple office phone lines listed."
Pour-in-place rubber flooring,UAE seller,Urban Flooring Maintenance and Decor Works,United Arab Emirates (UAE),Dubai (Al Quoz Industrial First),Muhammad Gulbadin (Founder & Operations Manager),info@urbanfloorings.com,+971 56 689 9831,https://www.urbanfloorings.com/,4002 / 4004 + 3909 (installed system),Wet-pour AED 120-250/m2; EPDM tiles AED 90-180/m2; bonded mulch AED 100-200/m2 (supply & install),"Best-documented lead: named contact person, direct email/WhatsApp, and PUBLISHED per-m2 pricing (rare in this niche). Operating since 2013, free UAE site visits. Installer/supplier, not a granule manufacturer."
Pour-in-place rubber flooring,UAE seller,Urban Terrain Sport Equipments LLC (Terrain Floorings),United Arab Emirates (UAE),Dubai (Hor Al Anz East),,inquiry@terrainfloorings.com,+971 4 263 2332 / +971 55 325 2253,https://terrainfloorings.com/,4002 / 4004 + 3909 (installed system),,Sports-surfacing arm (Urban Terrain Sport Equipments LLC) with dedicated wet-pour page and confirmed office in Dubai. Supplier/installer. Contact details from own site.
Pour-in-place rubber flooring,UAE seller,Rubber Tiles (rubbertiles.ae),United Arab Emirates (UAE),Dubai (Al Quoz Industrial 3),,info@rubbertiles.ae,+971 50 716 8667 / +971 4 257 8700,https://rubbertiles.ae/,4002 / 4004 + 3909 (installed system),EPDM granule flooring AED 100-135/m2; playground AED 110-140/m2; sports AED 130-170/m2 (supply & install),Real Dubai supplier/installer with published per-m2 price bands and clear phone/email. Focus is EPDM surfacing (not raw granule export). Verified on own site.
Pour-in-place rubber flooring,UAE seller,Floor Land LLC,United Arab Emirates (UAE),Dubai (Al Quoz Industrial 3),,info@floorland.ae,+971 50 293 3585,https://floorland.ae/,4002 / 4004 + 3909 (installed system),,"Real Dubai flooring company with a genuine EPDM/wet-pour line, but it is one of many product categories (general fit-out retailer), so relevance to a dedicated wet-pour lane is moderate. Contact confirmed on own site."
