Category,Company,City,Phone,Website,Decora fit
Home-decor retailer,Abu Hussain Cont Company LLC,"Plot 12, M 36, Mussafah",+97125511599,,all families
Home-decor retailer,Abu Irfan Manual Carpentry Shop,Musaffah,+971507717865,,all families
Home-decor retailer,Abu Sajjad Decor,"Office 8, Mohd Saeed Bldg, Bhnd Police HQ, Airport Rd",+97124433719,,all families
Home-decor retailer,ACT Decor LLC,"502, Corniche Plaza Bldg 1, Buheirah Corniche Rd",,,all families
Home-decor retailer,Acumen Decor,Al Quoz Industrial Area 4,+97143474402,,all families
Home-decor retailer,Adams Contracting Co LLC,Shk Zayed Rd,+97142613372,,all families
Home-decor retailer,Adams Interior Decorations LLC,Shk Zayed Rd,+97143212868,,all families
Home-decor retailer,Adonis Contracting  LLC,Dubai,+97143478008,,all families
Home-decor retailer,AEON 5 Interiors LLC,Sh Zayed Rd,+97144477425,,all families
Home-decor retailer,Aesthetic Interiors,Al Quoz Indl Area 3,+97143232720,,all families
Home-decor retailer / Gift / corporate-gift,Afkar Advertising and Publishing LLC,"105, Block B, Hamdan Centre, Hamdan St",+97126216061,,all families / decor objects + clocks + gifting
Home-decor retailer,Afron Building Contracting Co LLC,"Near Twin Tower, Al Qusais",+97142636244,,all families
Home-decor retailer,AIC Design LLC,"Warehouse 6-9, Bldg 12, Phase 1, DIP",+97148856892,,all families
Home-decor retailer,AKAL Technical Services LLC (Div of Akal Group of Companies),"302, Office Court Bldg, Near Oud Metha Metro Station",+97143577322,,all families
Home-decor retailer,Akhtar Decorator Establishment,"Near NMC & Madinat Zayed, Bhnd HSBC, Aiport Rd",+97126313026,,all families
Home-decor retailer,Al Abbas Interior Environments,"Damascus Street, Al Qusais",+97142957143,,all families
Home-decor retailer,Al Agha Technical Services LLC,Al Qusais 2,+97142675229,,all families
Home-decor retailer,Al Amer Interior Design,"Office 108, Prestige Tower, Sheikh Ammar Bin Humaid St",+97165277734,,all families
Home-decor retailer,Al Aqaba Star Furniture Manufacturing LLC,"Behind Al Quoz Mall, Near Brilliant Car, Al Quoz 3",+97143479078,,all families
Home-decor retailer,Al Arabi Aluminium and Rolling Shutters Mfg,"Near National Paints R/A, Indl Area 11",+97165347744,,all families
Home-decor retailer,Al Araka Gp,"Sarah Bldg, Al Garhoud",+97142822296,,all families
Home-decor retailer,Al Arif Decor,,+97143475730,,all families
Home-decor retailer,Al Aryan Furniture Industrial Factory LLC,Indl Area 4,+97165322788,,all families
Home-decor retailer,Al Arz Decoration Works,Al Quoz Industrial Area 4,,,all families
Home-decor retailer,Al Asas Decoration Works LLC,"Shop # 7, Lehbab Street, Near Lehbab Police Station, Lehbab",+971553236986,,all families
Home-decor retailer,Al Askuna Decor,"Behind Sedar Co, Next to Gulf Ice Factory, Industrial Area 2",+97165337710,,all families
Home-decor retailer,Al Baraa Interior,"Industrial Area 10, Behind China Town",+97165345671,,all families
Home-decor retailer,Al Basrawi Decoration and Aluminium Company WLL,"Mohd Abdullah Al Naimi Bldg, Opp ADNOC, Mina Rd",+97126779451,,all families
Home-decor retailer,Al Batal Al Saed Interior Decoration LLC,"101, Shakhboot, Damascuc Road 4, Al Qusais Industrial Area 2",+97145873287,,all families
Home-decor retailer,Al Daffa Carpentry LLC,Dubai,+97143536834,,all families
Home-decor retailer,Al Fahim Interiors,Near Jumeirah Beach,+97143213323,,all families
Home-decor retailer,Al Faner Decoration,,+97167427432,,all families
Home-decor retailer,Al Fardan Decor LLC,Deira,+97142224960,,all families
Home-decor retailer,Al Faris Carpentry,"Near Zulekha Hospital, Al Qusais Indl Area 1",+97142698722,,all families
Home-decor retailer,Al Fikree Leisure and Decor,Dubai,+97142678142,,all families
Home-decor retailer,Al Fnon Alasrya Decor Works,"Near Tasjeel, Al Ghusais Indl Area 5",+97142582755,,all families
Home-decor retailer,Al Ghani Interior Decoration LLC,"Near Emirates Gas, Al Qusais Indl Area 1",+97142673474,,all families
Home-decor retailer,Al Habtoor Interiors LLC,Al Quoz Indl Area 3,+97143474015,,all families
Home-decor retailer,Al Hadif Interior Decoration Works,Ajman,+971527857521,,all families
Home-decor retailer,Al Jassim Aluminium & Carpentry LLC,"Block L, Plot 1A, Al Hail Indl Area",+97192239148,,all families
Home-decor retailer,Al Karama Centre,"Al Manzoori Bldg, Near Sind Punjab Rest, Karama",+97143375892,,all families
Home-decor retailer,Al Katheeb Auto Spare Parts Trading LLC,Deira,+97142590207,,all families
Home-decor retailer,Al Kawther Decor Contg,Al Soor,+971555050184,,all families
Home-decor retailer,Al Khaima Decor Establishment,,,,all families
Home-decor retailer,Al Khamri Technical Works LLC,"Warehouse 3, Khawaneej, Tatty",+97142858494,,all families
Home-decor retailer,Al Khoory Interior Decorators LLC,"Office 8, 24A Street, Umm Ramool",+97142857392,,all families
Home-decor retailer,Al Madah Building Contg Establishment,"Near Gold Souk, Park Rd",+97192243488,,all families
Home-decor retailer,Al Majd Decoration House,,+97137218737,,all families
Home-decor retailer,Al Mandaloon Decor LLC,"Plot 99, Mussafah M 38",+97125515606,,all families
Home-decor retailer,Al Manzel Decor LLC,"Office 111B, Al Shaali Building, Damascus St, Al Qusais",+97143414061,,all families
Home-decor retailer,Al Manzool,"Next to Saba Hotel, Tourist Club Area",+97126445170,,all families
Home-decor retailer,Al Maraghi Building Material Trading,Al Senaiyat,+971552171334,,all families
Home-decor retailer,Al Marzab Interior Decorative,"Plot 48, M-5, Mussafah Indl Area",+97125559775,,all families
Home-decor retailer,Al Masah Al Fadhiah Interior Design Contractors LLC,"Behind Adnoc, Indl Area 11",+97165351611,,all families
Home-decor retailer,Al Masood Carpentry Services LLC,"Bhnd Home Centre Logistics, Al Quoz 2",+971506506893,,all families
Home-decor retailer,Al Mawada Life Style & Interior Design,Al Quoz 1,+97143321335,,all families
Home-decor retailer,Al Mehrab Tech Svces LLC,"Near Mall of Emirates, Al Quoz",+97143408874,,all families
Home-decor retailer,Al Misbah Decoration Co LLC,"101, Al Nahda St, Al Qusais",+97143623801,,all families
Home-decor retailer,Al Mohanad Interior Design LLC,Ajman,+97165557111,,all families
Home-decor retailer,Al Muqtadir General Maint LLC,"2, Al Madani building, Al Nakheel, Deira",+97142297050,,all families
Home-decor retailer,Al Nabooda Interiors LLC,"2nd Interchange, Al Quoz",+97143407778,,all families
Home-decor retailer,Al Naboodah Design Spaces,Al Awir 800,+97142019346,,all families
Home-decor retailer,Al Najah Al Mumayaz Tech Cont LLC,"Industrial Area 4, Al Wahda",+97125512522,,all families
Home-decor retailer,Al Namariq Building Materials Trading Company LLC,Industrial Area 2,,,all families
Home-decor retailer,Al Nazaha Interiors LLC,"Near China Mall, Al Jurf 2",+971521429966,,all families
Home-decor retailer,Al Onqood Carpentry LLC,"W/House 4, Bhnd Modern Bakery, Near Audi Service Centre, Al Quoz 3",+97143472337,,all families
Home-decor retailer,Al Othmaniya Interior Decorators,New Indl Area,+97167484707,,all families
Home-decor retailer,Al Raad Decoration,,+97125506351,,all families
Home-decor retailer,Al Remaihi Interior Decoration Works LLC,"Office 202, Al Fahad Building, Amman Street, Al Qusais Industrial Area 3",+97142344040,,all families
Home-decor retailer,Al Saffar Interior Decoration LLC,"Benjamin Moore Building, Al Quoz 3",+97143233947,,all families
Home-decor retailer,Al Safi Furniture Manufacturing LLC,"W/H 20, Bhnd Gold & Diamond Park, Al Quoz Indl Area 3",+97143400253,,all families
Home-decor retailer,Al Sahary for Gypsum & Decor,New Industrial Area,+97167481482,,all families
Home-decor retailer,Al Sakher Contracting Company LLC,Al Quoz Indl Area 4,+97143413439,,all families
Home-decor retailer,Al Salik Interiors,,+97142844530,,all families
Home-decor retailer,Al Samah Arabian Majlis Establishment,"Near Al Badri Bakery Bldg, Darat Ul Miah, Khalidiya",+97126392025,,all families
Home-decor retailer,Al Shabibah Interiors and Building Maint,"Shed 39, New Indl Area",+971505858683,,all families
Home-decor retailer,Al Shafar Interiors Co LLC,Dubai,+97148853273,,all families
Home-decor retailer,Al Shahama Decoration Establishment,"M 37, Mussafah Indl Area",+97125513448,,all families
Home-decor retailer,Al Sinarah Decor Cont LLC,Abu Dhabi,+97165424081,,all families
Home-decor retailer,Al Tafahom Cont LLC,"Opp Al Khor Rest, Ras Al Khor",+97143337323,,all families
Home-decor retailer,Al Tahani Decor,Industrial Area 5,+97165423316,,all families
Home-decor retailer,Al Tasmeem Al Asri Decor,,+97165359331,,all families
Home-decor retailer,Al Tayer Stocks LLC,"210, Garhoud Atrium Bldg, Al Garhoud",,,all families
Home-decor retailer,Al Tomouh for Decoration Works,Al Muroor,+97124490654,,all families
Home-decor retailer,Al Wafa Wooden Doors and Furniture Factory,Al Ghusais Indl Area 1,+97142670805,,all families
Home-decor retailer,Al Wahda Carpentry,"Near Sedana Co, BMW Rd, Indl Area 1",+97165334418,,all families
Home-decor retailer,Al Youssef Kamel Decor LLC,"403, Al Majaz Pearl Tower Bldg, Al Majaz Northern Park St, Al Majaz 2",+97165449443,,all families
Home-decor retailer,Al Zahi Decor LLC,"W/H 9-10, Next to Emirates Gas, Al Quoz Indl Area 1",+97143381000,,all families
Home-decor retailer,Al Zubair Furnishing and Interior Decoration LLC,Business Bay,+97142824126,,all families
Home-decor retailer,Al Zubair General Trading Establishment (Furnishing Div),"Jalfa Bldg, Near Aviation Club, Al Garhoud",+97142824126,,all families
Home-decor retailer,Alamis Decor Contracting Establishment,"209, Al Faisal Building - 2, King Faisal St",+97165750062,,all families
Home-decor retailer,Aldua Advertising,"Warehouse No. E36, Opp Jotun Paints, Al Quoz Industrial Area 2",+97142556123,,all families
Home-decor retailer,Alfa Interiors and Furniture Industries FZC,Umm Al Quawain,+97167653755,,all families
Home-decor retailer,Ali and Sons Contracting (Interiors Div),"7 Flr, Ali & Sons Bldg, Electra St",+97126717714,,all families
Home-decor retailer,Ali Badi Interiors,"Next to Emirates Glass, 4th I/Change, Al Quoz",+97143475291,,all families
Home-decor retailer,Alia Wood Pressing LLC,New Indl Area,+97167431442,,all families
Home-decor retailer,Alliance Royal Tec,Al Quoz,+97143215822,,all families
Home-decor retailer,Allied Power Technical Services LLC,"Office 612, CEO Building, DIP",+97148860440,,all families
Home-decor retailer,Alloy Steel Trading LLC,"Umm Ramool, Rashidiya",+97142851404,,all families
Home-decor retailer,Almax Design,,+97143357789,,all families
Home-decor retailer,Alpha Decoration,"30th Floor, Burlington Tower, Al Abraj St., Business Bay",+97144036699,,all families
Home-decor retailer,Alpha Home Interior Decoration LLC,Al Quoz,+97143406022,,all families
Home-decor retailer,Altallah International FZC,"H2-006, SAIF Zone",,,all families
Home-decor retailer,Amazing Execution Interior Design Works,"Plot 039, Building 319A, Jurf Industrial Area 1",+971505265357,,all families
Home-decor retailer,Ambar Garden Furniture LLC,Al Qouz Indl Area,+97143232405,,all families
Home-decor retailer,Ambiante Interiors LLC,"Warehouse # 4, Street # 10b, Building 11, Al Quoz Industrial Area 3- 368",+971555584400,,all families
Home-decor retailer,Ambigram Interiors,Al Quoz 4,+97143419317,,all families
Home-decor retailer,Amzan Middle East LLC,"Street # 20, Al Quoz Industrial Area 1",+97143400061,,all families
Home-decor retailer,Amzan Neon LLC,"Near Al Tayer Body Shop, Al Quoz 1",+97143400061,,all families
Home-decor retailer,Apple Interior Design,,+97167438038,,all families
Home-decor retailer,Arabian Alliance Inc,"W/House No WD1, Near R/A 8, Jebel Ali Free Zone",+97148832326,,all families
Home-decor retailer,Arabian Carpentry Workshop,"Near Women's College, Al Qusais Indl Area 1",+97142673341,,all families
Home-decor retailer,Arabian Designs,Al Qusais,+97142583335,,all families
Home-decor retailer,Arabian Treasures Moroccan Decor,"304, NBAD Bldg, Salam St",+97126451777,,all families
Home-decor retailer,Aram Interior and Landscape Design,"Behind Emirates Printing Press, Al Quoz Indl Area 2",+97143235955,,all families
Home-decor retailer,Arc Vision Interiors LLC,"M 17, Business Venue, Oud Mehta",+97143799563,,all families
Home-decor retailer,Arcade Decor,"1st Floor, ADCB Bldg, Khalidiya",+97126664632,,all families
Home-decor retailer,Arcadia Engineering Ent,"Near Lufthansa Bldg, Sh Zayed Rd",+97143435166,,all families
Home-decor retailer,Arcan Interiors,"Opp All Prints, Al Nasr Street",+97124468800,,all families
Home-decor retailer,Arcane Interior Decoration,"Bhnd Dar Al Shifa Hospital, Defence Rd",+97126417715,,all families
Home-decor retailer,Arcave Architecture And Interior Design LLC,Al Bateen Street,+971503532545,,all families
Home-decor retailer,Arch Way LLC,Dubai,+97142677696,,all families
Home-decor retailer,Archiade Group,,,,all families
Home-decor retailer,Architouch Interiors LLC,"Industrial Area, Al Qusais",+97145539566,,all families
Home-decor retailer,Ardent Decoration Work LLC,"Office Number 1903, ADCP Tower, Electra Street",+97126660115,,all families
Home-decor retailer,Area Decor LLC,"M 05, Carrera Bldg, Zabeel Rd, Karama",+97143352881,,all families
Home-decor retailer,Argyle Technical Services,"S6, Al Quoz Industrial Area 4",+97142585277,,all families
Home-decor retailer,Ariel Designs,,+97143417713,,all families
Home-decor retailer,Aries International Interiors LLC,"112, Al Qyaida Bldg, Ittihad Rd, Deira",+97142997491,,all families
Home-decor retailer,Aristo Castle Interior Design LLC,"M 09, The Curve Bldg, Shk Zayed Rd",+97143219007,,all families
Home-decor retailer,Arka Interior Design LLC,,+97126503939,,all families
Home-decor retailer,Armar Infra Interior Decoration LLC,"Office M04, Clean Line Building, Deira",+97142215134,,all families
Home-decor retailer,Art Address Decor,,+97143244557,,all families
Home-decor retailer,Art and Oriental Creativity,"M 9, Mussafah Indl Area",+97125559593,,all families
Home-decor retailer,Art Design Decor,"Near Tasjeel, Al Qusais Indl Area 5",+97142676624,,all families
Home-decor retailer,Art Designing & Decor Works LLC,,+97142940163,,all families
Home-decor retailer,Art Home Decor LLC,"Office No 308, Al Garhoud Community Building, Garhoud",+97142720444,,all families
Home-decor retailer,Art Line Building Material and Decor,"312, Sarah Bldg, Al Garhoud",+97142830206,,all families
Home-decor retailer,Art Venue Interior Design LLC,"Office 9, Lootah Head Office Building, Marrakesh Street, Umm Ramool",+97142827996,,all families
Home-decor retailer,Art Vision Decor LLC,"M-8, Pearl Bldg, Near Galadari R/A, Deira",+97142972977,,all families
Home-decor retailer,Artec Interiors LLC,"Abu Hail MS, Deira",+97142664978,,all families
Home-decor retailer,Artesia Interiors LLC,Khalidiya,+97126811179,,all families
Home-decor retailer,Artisans Decor LLC,Al Ghusais Industrial Area 3,,,all families
Home-decor retailer,Artista One Decorative Paint,"Shop No O S 32, Building Material Mall, Warsan 3",+97142507447,,all families
Home-decor retailer,Arts Island Contg Gen Maint & Decor LLC,"Al Dafra Clinic Bldg, Bhnd Liwa Center, Hamdan St",+97126394336,,all families
Home-decor retailer,Asdev Interior Decor LLC,Al Jurf Industrial Area 1,+97168824041,,all families
Home-decor retailer,Asif Decore Establishment,"Carpentry Rd, Indl Area",+97137212081,,all families
Home-decor retailer,Astrid Oasis Manufacturing LLC,Dubai,+97143575749,,all families
Home-decor retailer,Aswar Al Manar Group,Defence Rd,+97126410102,,all families
Home-decor retailer,Atelier Innovation Interior Decoration LLC,"Office 1006, 10th Floor, Belrashid bldg,  Bldg B, Damascus street, Ghusais",+97142250123,,all families
Home-decor retailer,Atiq Juma Bu Showaf Technical Services LLC,,+97143806991,,all families
Home-decor retailer,Atlantis Maintenance And Interiors,"Shop No.1, Al Zarouni Business Center, Opposite Wellington College, Al Barsha 1",+97143405648,,all families
Home-decor retailer,Atrium Design and Decoration,"Off 02, Al Kamala Tower(Near Al Dana Plaza), Khalidiya",+97126814422,,all families
Home-decor retailer,Audiviz Technologies,,+97144542040,,all families
Home-decor retailer,Aujan Interiors Decoration LLC,"Warehouse No 1, Al Qusais Industrial Area 3",+971501542640,,all families
Home-decor retailer,Authentic Turnkey Projects Supplies LLC,Dubai,+97143208018,,all families
Home-decor retailer,Avance Engineering,"202-2, Zabeel Business Park, Bhnd KPO, Karama",+97143705537,,all families
Home-decor retailer,AVEA Contracting LLC,Jebal Ali Comercial Complex,+97142408466,,all families
Home-decor retailer,Avenue Design,"Old Nissan S/R, Al Nazar St",+97126740402,,all families
Home-decor retailer,Avtar Interiors,,+97143250300,,all families
Home-decor retailer,Awalle,Al Nahda,+97144470056,,all families
Home-decor retailer,Awasco Group,Al Garhoud,+97142945779,,all families
Home-decor retailer,Babel Engineering Consultants,"304, 21st Century Bldg, Deira",,,all families
Home-decor retailer,Bafco Interiors,"Al Manra Bldg, Al Quoz",+97142658702,,all families
Home-decor retailer,Balsa Decor Contracting LLC,Sharjah,+97165398857,,all families
Home-decor retailer,Base Plate LLC,"Near BY Hyper Bonanza Supermarket, Near Jogaram General Trading LLC, Al Quoz",+97143387424,,all families
Home-decor retailer,Baseline Contracting LLC,"The Curve Building, Sh Zayed Rd",+97143307910,,all families
Home-decor retailer,Bedazzle Interior Decoration LLC,"101, Al Safa Hermitage Building, Near Central Post Office, Karama",+97143880340,,all families
Home-decor retailer,Belhasa Interiors,"206, Al Barsha Boutique Building",+97145575508,,all families
Home-decor retailer,Bella Interiors LLC,,+97144508842,,all families
Home-decor retailer / Gift / corporate-gift,Bellagio Creations LLC,"Shop No.2, Saleh Bin Lahej Building, Opp Lamcy Plaza Oud Metha",+97143372344,,all families / decor objects + clocks + gifting
Home-decor retailer,Bello Interior Decor,"Office 1602, Binary Tower by Omniyat, Business Bay",+97145139894,,all families
Home-decor retailer,Bertolini Furniture LLC,Al Quoz Industrial Area 2,+97143394315,,all families
Home-decor retailer,Best Way International Trading,,+971521205214,,all families
Home-decor retailer,BHL Interior Design,"Park lane Tower, Business Bay",+971507048869,,all families
Home-decor retailer,Big Boys,Al Quoz 4th Interchange,+97143413445,,all families
Home-decor retailer,Bikram Interior Decoration LLC,"901, Sahil 1, Al Nadha 1",+97142965355,,all families
Home-decor retailer,Bin Hussain Curtains and Decor,"Opp Habib Bank AG Zurich, Al Falah St",+97126339853,,all families
Home-decor retailer,Bin Saeed Interior LLC,Al Qusais Indl Area 1,+97142671706,,all families
Home-decor retailer,Bin Sanqoor General Maint,Al Quoz,+97143479670,,all families
Home-decor retailer,Blooms Flowers and Gifts Trading,"Villa 47, Near Spinneys, Opp Al Wasl Rd, Jumeirah 3",+97143946094,,all families
Home-decor retailer,Blue Camel Design,"311, Oud Metha Bldg, Oud Metha Rd",+97143248008,,all families
Home-decor retailer,Blue Chip Interiors LLC,Sharjah,,,all families
Home-decor retailer,Blue Star Curtains and Decor Establishment,"G Flr, Mohd Sultan Al Khaily Bldg, Old Passport Rd",+97126423390,,all families
Home-decor retailer,Bold Borne Carpentry,,+971522435438,,all families
Home-decor retailer,Bond Interior Designing,"Claridge Hotel Bldg, Fish R/A, Deira",+97142711727,,all families
Home-decor retailer,Brilliant Star Technical Services LLC,"Near Times Square, Shk Zayed Rd",+97143232134,,all families
Home-decor retailer,Broad Mind Interiors LLC,"Yellow Warehouse, 6-B Street, Opp - Carnab, Al Quoz Industrial Area 3",+971526010690,,all families
Home-decor retailer,Broadway Interiors,"1512, Grosvenor Business Tower, Barsha Heights, TECOM",+97143366840,,all families
Home-decor retailer,Brothers Carpentry,Al Qusais Indl Area 1,+97142671706,,all families
Home-decor retailer,Bruno Furnishings LLC,"DHL Bldg, Airport Rd",+97126333657,,all families
Home-decor retailer,Builders Worldwide Building Contracting LLC,"18A, Al Quoz 3",+97142696160,,all families
Home-decor retailer,BURODSIN,"2207, HDS Tower, JLT",+97144534118,,all families
Home-decor retailer,BW Interiors,Al Quoz Indl Area,+97143392911,,all families
Home-decor retailer,C D Intl Decor Co,Khalifa St,+97126269860,,all families
Home-decor retailer,C K Architecture Interiors LLC,"Office 201, Deyaar Building, Next to Mall of the Emirates, Al Barsha",+97143995153,,all families
Home-decor retailer,C R C International Technical Services LLC,,+97143232372,,all families
Home-decor retailer,Cairo Building Maintenance And Decoration Company LLC,Al Quoz 1,+97143392088,,all families
Home-decor retailer,Camouflage Interior Design LLC,"Near Khaleej Times Office, Al Quoz Indl Area 1",+97143390481,,all families
Home-decor retailer,Casa Mia Interior Design,Dubai,+97143554450,,all families
Home-decor retailer,Casaprestige Suppliers,,+97144329633,,all families
Home-decor retailer,Caspaiou,"Between 2nd & 3rd I/Change, Sh Zayed Rd",+97143388276,,all families
Home-decor retailer,Celcius Interiors LLC,"19th Street, Umm Ramool, Rashidiya Industrial Area 2",,,all families
Home-decor retailer,Celcius Technical Services LLC,Al Nahda,+97143695056,,all families
Home-decor retailer,Ceramic City,"Al Ittihad Bldg, Opp City Centre, Deira",+97142956688,,all families
Home-decor retailer,Cercle D'Art LLC,"201, Al Huda Bldg, Al Garhoud",+97142826655,,all families
Home-decor retailer,Chronicle Interiors LLC,Karama,+97143570387,,all families
Home-decor retailer,City Palace Furniture Interiors and Joiners,"Plot 369-0599, 4th I/Change, Al Quoz 4",+97143474497,,all families
Home-decor retailer,City Tower Decor,"Near Zulekha Hosp, Al Qusais",+97142636477,,all families
Home-decor retailer,Class Building Maint and Decor Works LLC,"303, Sunshine Bldg, Garhoud",+97142868997,,all families
Home-decor retailer,Classic Gulf Decor,"M/4, Panorama Bldg, Hamdan St",+97126266038,,all families
Home-decor retailer,Classic Touch Furniture Factory LLC,"Shed 43, Maritime Management Bldg, 22 St, Al Quoz Indl Area 4",+97143411488,,all families
Home-decor retailer,Classic Touch Interiors,"Near Oasis Resi, Al Qusais",+97142637789,,all families
Home-decor retailer,Clifton Interiors LLC,"Room 203, 2nd Flr, 48, Burj Gate Tower (Beside Sofitel Hotel & Burj Khalifa Metro Stn), Sh Zayed Rd",+97143250030,,all families
Home-decor retailer,Climate Solution Technologies,"3412, Churchill Executive Tower, Business Bay",+97144524425,,all families
Home-decor retailer,Climatec Interiors,"Suite 109, Al Garhoud Star Building, Al Garhoud",+97142594081,,all families
Home-decor retailer,Closets Unlimited,"1303, API Trio Towers, Novotel Al Barsha, Shaikh Zayed Road, Al Barsha 1",+97143994080,,all families
Home-decor retailer,Coast Line Carpentry,"Store # 28, Bldg # 45, M - 9, Musaffah",+971508287183,,all families
Home-decor retailer,Cold Desert Interior Design LLC,"Shop 11, China Cluster D-08, International City",+97144327527,,all families
Home-decor retailer,Colorland Decor,Al Qusais,+97142655338,,all families
Home-decor retailer,Compass Arabian Decor Cont LLC,,+97165277189,,all families
Home-decor retailer,Concept Interiors,"Near Emirates Printing Press, Al Quoz Indl Area 2",+97143470900,,all families
Home-decor retailer,Concord Decor,"Bhnd Juma Al Majid, Sanaiya",,,all families
Home-decor retailer,Concur Technical Services,Al Quoz 2,+97143384476,,all families
Home-decor retailer,Consonni Group of Companies,"3-2, Dhabi Tower, Hamdan Rd",+97126269751,,all families
Home-decor retailer,Contrast Furniture Manufacturing and Decor,"1st Flr, Hamarain Centre, Abu Baker Siddique Rd, Deira",+97142973000,,all families
Home-decor retailer,Contrast Interior Design,"1st Flr, Hamarain Centre, Abu Baker Al Siddique Rd, Deira",+97142628000,,all families
Home-decor retailer,Cougar Technical Works LLC,"Salahuddin Rd, Deira",+97142527737,,all families
Home-decor retailer,Creative Angels,Al Quoz,+97143511566,,all families
Home-decor retailer,Creative Concepts,"Opp Al Sharawi Equipment, Indl Area 1",+97142580604,,all families
Home-decor retailer,Creative Concepts Interior Design and Decoration,"Office 1, Eisa Al Khaili Bldg, Bhnd Remal Mall, Street 18",+97137216304,,all families
Home-decor retailer,Creative Corner Decor,Musaffah Industrial  Area,+971564837022,,all families
Home-decor retailer,Creative Display Co LLC,Mussafa-13,+97142973722,,all families
Home-decor retailer,Creative Hands Decor LLC,"Warehouse No. 6, Al Jurf Industrial Zone 1",+97165266121,,all families
Home-decor retailer,Creative House Interiors,"RKM Bldg, Near Labour Office, Deira",+97142627171,,all families
Home-decor retailer,Creative International Interiors LLC,"Office 12, Industrial Area 1, Jebel Ali",+97148848899,,all families
Home-decor retailer,Creative Line Decor,Industrial Area 15,+97165351473,,all families
