Type,Product,Company/Buyer,Country,City,Phone,Website,Detail
GE venue,Rubber tiles (buyer),თბილისი იოგა ლოფტი,GE,,,https://tbilisiyoga.com/en/loft,gym / fitness centre
GE venue,Rubber tiles (buyer),BFA Gym,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),ლევიოსა მოძრაობის სივრცე,GE,,,https://www.facebook.com/leviosamovelab/about,gym / fitness centre
GE venue,Rubber tiles (buyer),თიდანი +,GE,,,https://tidanigym.ge/,gym / fitness centre
GE venue,Rubber tiles (buyer),იოგავილი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),დინამიკა,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),ასპრია ფიტნესი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),სნეპ,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Stay Strong,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Reform,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Flow Studio,GE,თბილისი,+995 551 58 87 50,https://fitbase.io/,gym / fitness centre
GE venue,Rubber tiles (buyer),პრაიმ ფიტი,GE,,+995 32 200 21 77,https://primefit.ge/,gym / fitness centre
GE venue,Rubber tiles (buyer),მატრიქს ფიტნესი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Galileo,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),ტონუსი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),პაუერ მაქსი,GE,,+995 599 97 74 80,,gym / fitness centre
GE venue,Rubber tiles (buyer),Yoga Studio 9,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),პილატეს თბილისი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Sative,GE,,+995 32 219 44 05,https://sative.space/,gym / fitness centre
GE venue,Rubber tiles (buyer),Gymnasia,GE,,,https://gymnasia.ge/,gym / fitness centre
GE venue,Rubber tiles (buyer),Warriors,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Ringside Institute,GE,თბილისი,,,gym / fitness centre
GE venue,Rubber tiles (buyer),მუვ ქლაბი,GE,თბილისი,,,gym / fitness centre
GE venue,Rubber tiles (buyer),იმოძრავე,GE,,+995 555 17 03 97,,gym / fitness centre
GE venue,Rubber tiles (buyer),მამბერი ფიტნესი,GE,თბილისი,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Snap Fitness,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Energym,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),საკემატა,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),მფჯ,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Absolute,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),ტროა ფიტნეს,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Reformer,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),My Baby Pool & Gym,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Gladiator Fitness,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),რულ ფიტნეს,GE,,+995 557 70 45 55,,gym / fitness centre
GE venue,Rubber tiles (buyer),Evo Gym,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),PilatesBatumi,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Elastic Fit Space,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Global Fitness,GE,,+995 591 06 04 25,,gym / fitness centre
GE venue,Rubber tiles (buyer),ზენიტი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),ბლისს იოგა,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),ლიონ ფიტნეს პრო,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Heyday home / yoga studio,GE,,,https://heyday-home.com/,gym / fitness centre
GE venue,Rubber tiles (buyer),Hard Gym,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Colosseum Gym,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Mega Gym Fitness Batumi,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),სნაპ ფიტნესი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),360⁰,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),BI Fitness,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),რეფორმა,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),GYM13,GE,,+995 511 13 13 78,https://www.gym13.ge/,gym / fitness centre
GE venue,Rubber tiles (buyer),Iron Viking,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Iviko's Cage,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),ფიტნესი - Club 407,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Pro Fitness,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),თვინს,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),K2,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),ელიფსი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),"Fitness Club ""Mtieli""",GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),პროფიტნესი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),ფორმატ ფიტ,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Stronger,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),სოლო ფიტნესი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),World Class Georgia,GE,,+995 32 291 48 88,,gym / fitness centre
GE venue,Rubber tiles (buyer),CycleO2 cycle&fitness,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),მანდალა,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Rituals,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Power Max,GE,თბილისი,+995 599 97 74 80,https://powermax.ge/,gym / fitness centre
GE venue,Rubber tiles (buyer),Fit formula,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),X Area,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Goal Fitness,GE,ბათუმი,+995 555 00 50 90,,gym / fitness centre
GE venue,Rubber tiles (buyer),ლოტუსი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),გოუ ფიტნეს,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),მატრიქსი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),ფიტნეს ზონა,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Ultraform,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Gold's Gym,GE,თბილისი,+995 597 11 71 17,https://goldsgym.ge,gym / fitness centre
GE venue,Rubber tiles (buyer),Marpha,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Valhalla,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Laboratory,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),კლუბი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),საჭიდაო დარბაზი,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),სპორტ თაიმი,GE,თბილისი,,,gym / fitness centre
GE venue,Rubber tiles (buyer),ფიტნეს დარბაზი,GE,ქარელი,,,gym / fitness centre
GE venue,Rubber tiles (buyer),ოკტოპუს,GE,,+995 32 230 18 88,https://www.oktopus.ge,gym / fitness centre
GE venue,Rubber tiles (buyer),12 Rounds Boxing Club,GE,,,,gym / fitness centre
GE venue,Rubber tiles (buyer),Chess House,GE,,,,sports centre
GE venue,Rubber tiles (buyer),გურამ თიკანაძის სახელობის სპორტული კომპლექსი (Latali Sports Complex of Guram Tikanadze),GE,,,,sports centre
GE venue,Rubber tiles (buyer),სპორტული სკოლა,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Къахпортийы федераци,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Tsageri Sports School,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Tennis Courts Administration,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Telavi Tennis Courts,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Cultural and Sport Centre,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Тедеты Дзамболаты номыл хъæбысхæсты скъола,GE,,,,sports centre
GE venue,Rubber tiles (buyer),საქართველოს კიოკუშინის ფედერაცია,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Royal Art - The School of Champions,GE,თბილისი,+995 593 64 87 48,https://www.facebook.com/RoyalArtStudio,sports centre
GE venue,Rubber tiles (buyer),ვაკის საცურაო აუზი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ურბან გარდენი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Boxing Hall,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ვაკის საცოცი დარბაზი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Тир,GE,,,,sports centre
GE venue,Rubber tiles (buyer),სითი ფიტნესი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),აკაკი კაკაურიძის სახელობის N18 კრივის სპორტული სკოლა,GE,,,,sports centre
GE venue,Rubber tiles (buyer),"Climbing sectors ""Game Zone"", ""+18"", ""Kovida"", ""ATA"" of climbing area ""Sveri""",GE,,,https://climbing.ge/outdoor/Climbing_In_Sveri(Chiatura),sports centre
GE venue,Rubber tiles (buyer),Arsha climbing sector,GE,,,https://www.thecrag.com/climbing/georgia/area/1347465513,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""Drakula"" of climbing area ""Borjomi""",GE,,,,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""Mzetamze"" in climbing area ""Borjomi""",GE,,,,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""Petcho' of climbing area ""Borjomi""",GE,,,,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""Q'veli' of climbing area ""Borjomi""",GE,,,,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""Lake"" of climbing area ""Sveri""",GE,,,https://www.thecrag.com/en/climbing/georgia/area/1344555015,sports centre
GE venue,Rubber tiles (buyer),"სვერის ""ვია ფერატა""",GE,,,,sports centre
GE venue,Rubber tiles (buyer),იმედი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ლედი სტრეჩი,GE,,+995 591 28 86 82,https://ladystretching.com/tbilisi,sports centre
GE venue,Rubber tiles (buyer),ბლექ სი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),მძლეოსნობის სასახლე,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Lazer Lounge,GE,,,https://lazerlounge.ge/eng,sports centre
GE venue,Rubber tiles (buyer),СК Агузерский,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ДЮШС,GE,,,,sports centre
GE venue,Rubber tiles (buyer),კრივის სკოლა,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Splash Abashidze,GE,თბილისი,+995 598 14 88 88,,sports centre
GE venue,Rubber tiles (buyer),Deadpool,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Karda Gaming,GE,,,,sports centre
GE venue,Rubber tiles (buyer),საჭყუმპალაო,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ქირიას საბრძოლო ხელოვნების აკადემია,GE,,,,sports centre
GE venue,Rubber tiles (buyer),12 რაუმდი ბოქსის კლუბი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),საცურაო აუზი „დინამო“,GE,,,,sports centre
GE venue,Rubber tiles (buyer),მურად ჭიჭინაძის სახელობის სკვერი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Padel Port Batumi,GE,ბათუმი,+995 577 30 88 72,https://padel-port-batumi2.reservio.com,sports centre
GE venue,Rubber tiles (buyer),Спортивная база,GE,,,,sports centre
GE venue,Rubber tiles (buyer),underground,GE,,,,sports centre
GE venue,Rubber tiles (buyer),თბილისის სპორტის სასახლე,GE,,,,sports centre
GE venue,Rubber tiles (buyer),არენა II,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ოლიმპიკი,GE,,,https://olympic.ge,sports centre
GE venue,Rubber tiles (buyer),არენა I,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ვერის საკალათბურთო დარბაზი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ძიუდოს კლუბი “ჯორჯია”,GE,თბილისი,+995 599 93 38 97,,sports centre
GE venue,Rubber tiles (buyer),გლდანი-ნაძალადევის კომპლექსური სპორტული ცენტრი,GE,ზღვისუბანის მე-11 მიკრო რაიონი / მე-3 კვარტალი,+995 32 224 03 04,,sports centre
GE venue,Rubber tiles (buyer),ხელბურთის ეროვნული სკოლა,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Neptune Sport Complex,GE,,,,sports centre
GE venue,Rubber tiles (buyer),სპორტის სასახლე,GE,ქუთაისი,,,sports centre
GE venue,Rubber tiles (buyer),ქუთაისის ტორპედოს ბაზა,GE,,,,sports centre
GE venue,Rubber tiles (buyer),სპორტ-კომპლექსი მართვე (Martve),GE,,,,sports centre
GE venue,Rubber tiles (buyer),Sagarejo Sports School,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Sport Centre of Senaki,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Wrestling Playground,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Didi Plevi Wrestling Arena,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Khovle Wrestling Arena,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ცენტრალური სტადიონი (Central Stadium),GE,,,,sports centre
GE venue,Rubber tiles (buyer),რუსთავი არენა,GE,რუსთავი,,,sports centre
GE venue,Rubber tiles (buyer),ქიმიკოსთა სპორტული კომპლექსი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),გლდანის ახალი საცურაო აუზი,GE,თბილისი,,,sports centre
GE venue,Rubber tiles (buyer),Ареспубликатә Стадион,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Стадион им. Виталия Дараселия,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Стадион ФК Киараз,GE,,,,sports centre
GE venue,Rubber tiles (buyer),City Sport,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ლეილა მესხის სახელობის საჩოგბურთო კომპლექსი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ლისის ტბის იპოდრომი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Marina Hotel Swimming Pool,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ლერი ნაკანის სახელობის მესტიის სპორტული კომპლექსი,GE,მესტია,,,sports centre
GE venue,Rubber tiles (buyer),საცურაო აუზი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),"Дворец спорта ""Олимп""",GE,,,,sports centre
GE venue,Rubber tiles (buyer),დინამოს აკადემია,GE,,,,sports centre
GE venue,Rubber tiles (buyer),მულახის სპორტული კომპლექსი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),"დინამო ბათუმის ბაზა ""ანგისა""",GE,ბათუმი,,,sports centre
GE venue,Rubber tiles (buyer),საქართველოს ოლიმპიური რეზერვების მზადების ეროვნული ცენტრი,GE,თბილისი,+995 32 268 79 30,https://www.olympiccentre.ge/,sports centre
GE venue,Rubber tiles (buyer),სპორტული კომპლექსი შატილი,GE,თბილისი,,,sports centre
GE venue,Rubber tiles (buyer),Fitness Plaza Gym,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ფრენბურთის არენა,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ტანვარჯიშის არენა,GE,,,,sports centre
GE venue,Rubber tiles (buyer),NoNa Veterans Club,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ოლიმპიური სასახლე,GE,თბილისი,,,sports centre
GE venue,Rubber tiles (buyer),სპორტსკოლა,GE,ქუთაისი,,,sports centre
GE venue,Rubber tiles (buyer),"""აია"" არენა",GE,,,,sports centre
GE venue,Rubber tiles (buyer),რაგბის სტადიონი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),საქართველოს ფეხბურთის ფედერაციის აკადემია,GE,,,,sports centre
GE venue,Rubber tiles (buyer),"რაგბის სტადიონი ""კავკასიონი""",GE,თელავი,,,sports centre
GE venue,Rubber tiles (buyer),აქვა ბეიბი,GE,გორი,,,sports centre
GE venue,Rubber tiles (buyer),ალექსანდრე მეტრეველის სახელობის საჩოგბურთო კომპლექსი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ხელვაჩაურის სასპორტო სკოლა,GE,,,,sports centre
GE venue,Rubber tiles (buyer),თბილისი არენა,GE,თბილისი,,,sports centre
GE venue,Rubber tiles (buyer),ფოთის საცურაო აუზი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),მუხრან ვახტანგაძის ბათუმის სპორტის სასახლე,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ოზუეგეთის სპორტული სკოლა,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ფიგურული სრიალის ცენტრი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),სპორტკომპლექსი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ხვამლი არენა,GE,,,,sports centre
GE venue,Rubber tiles (buyer),"აკაკი წერეთლის სახელობის სახელმწიფო უნივერსიტეტი, კორპუსი VI",GE,ქუთაისი,,,sports centre
GE venue,Rubber tiles (buyer),"Climbing area Botanical Garden, Tbilisi",GE,,,https://www.thecrag.com/en/climbing/georgia/tbilisi,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""Office"" of climbing area ""Katskhi""",GE,,,https://www.thecrag.com/en/climbing/georgia/area/7568181576,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""Gulo"" of climbing area ""Katskhi""",GE,,,https://www.thecrag.com/en/climbing/georgia/area/7569062847,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""Bazi"" of climbing area ""Katskhi""",GE,,,https://www.thecrag.com/en/climbing/georgia/area/7569021021,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""Cave"" of climbing area ""Katskhi""",GE,,,https://www.thecrag.com/en/climbing/georgia/area/1346810898,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""Ozzy"" of climbing area ""Katskhi""",GE,,,https://www.thecrag.com/en/climbing/georgia/area/7578216348,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""Canyon"" of climbing area ""Katskhi""",GE,,,https://www.thecrag.com/en/climbing/georgia/area/1346810952,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""Tsunami"" of climbing area ""Katskhi""",GE,,,https://www.thecrag.com/en/climbing/georgia/area/7568181576,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""Dano"" of climbing area ""Katskhi""",GE,,,https://www.thecrag.com/en/climbing/georgia/area/7569459249,sports centre
GE venue,Rubber tiles (buyer),GymBreeze,GE,,+995 511 43 33 10,,sports centre
GE venue,Rubber tiles (buyer),საფეხბურთო ცენტრი ნუცუბიძის პლატოზე,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ბათუმის სპორტული ცენტრი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ჭურიის თოკების პარკი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Aura,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Теннисный клуб Akua,GE,,,,sports centre
GE venue,Rubber tiles (buyer),ერთობა,GE,,,,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""Central""",GE,,,https://27crags.com/crags/dzevri,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""River""",GE,,,https://27crags.com/crags/dzevri,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""Road""",GE,,,https://27crags.com/crags/dzevri,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""Tsikhidziri""",GE,,,https://www.thecrag.com/climbing/georgia/area/7628869776,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""Old Road""",GE,,,https://www.thecrag.com/climbing/georgia/area/7628869776,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""Parking""",GE,,,https://www.thecrag.com/climbing/georgia/area/7628869692,sports centre
GE venue,Rubber tiles (buyer),"Climbing sector ""Fuel Sation""",GE,,,https://www.thecrag.com/climbing/georgia/area/7628869602,sports centre
GE venue,Rubber tiles (buyer),Surebi Off-Road Fest,GE,,,,sports centre
GE venue,Rubber tiles (buyer),რუსთავის საერთაშორისო მოტოდრომი,GE,,,https://www.rustavi1.com/,sports centre
GE venue,Rubber tiles (buyer),კუს ტბა პადელი,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Tskaltubo Stadium,GE,,,,sports centre
GE venue,Rubber tiles (buyer),Tamaz Stepania Stadium,GE,,,,stadium
GE venue,Rubber tiles (buyer),მიხეილ მესხის სახელობის სტადიონი,GE,,,,stadium
GE venue,Rubber tiles (buyer),ცენტრალური სტადიონი,GE,,,,stadium
GE venue,Rubber tiles (buyer),Спартак,GE,,,,stadium
GE venue,Rubber tiles (buyer),შევარდენის სტადიონი,GE,,,,stadium
GE venue,Rubber tiles (buyer),Стадион имени Баграмяна,GE,,,,stadium
GE venue,Rubber tiles (buyer),Гагрский городской стадион имени Даура Ахвледиани,GE,,,,stadium
GE venue,Rubber tiles (buyer),ევგრაფი შევარდნაძის სტადიონი,GE,,,,stadium
GE venue,Rubber tiles (buyer),გურჯაანის დავით ყიფიანის სახელობის სტადიონი,GE,,,,stadium
GE venue,Rubber tiles (buyer),ეროსი მანჯგალაძის სტადიონი,GE,,,,stadium
GE venue,Rubber tiles (buyer),ფაზისი,GE,,,,stadium
GE venue,Rubber tiles (buyer),აჭარაბეთ არენა,GE,,,,stadium
GE venue,Rubber tiles (buyer),Cтадион «Динамо»,GE,,,,stadium
GE venue,Rubber tiles (buyer),თერჯოლის საპოვნელა,GE,,,,stadium
GE venue,Rubber tiles (buyer),Megobroba Stadium,GE,,,,stadium
GE venue,Rubber tiles (buyer),BAIA stadium,GE,,,,stadium
GE venue,Rubber tiles (buyer),გრიგოლ ნიკოლეიშვილის სტადიონი,GE,,,,stadium
GE venue,Rubber tiles (buyer),ჭიათურის თემურ მაღრაძის სახელობის სტადიონი,GE,,,,stadium
GE venue,Rubber tiles (buyer),Mikheil Iadze Stadium,GE,,,,stadium
GE venue,Rubber tiles (buyer),რუსთავის რაგბის სტადიონი,GE,,,,stadium
GE venue,Rubber tiles (buyer),"სტადიონი ""ავჩალა""",GE,,,,stadium
GE venue,Rubber tiles (buyer),დავით აბაშიძის სტადიონი,GE,,,,stadium
GE venue,Rubber tiles (buyer),ზედა ალისუბნის სკოლის საფეხბურთო მოედანი,GE,,,,stadium
GE venue,Rubber tiles (buyer),ჯემალ ზეინკლიშვილის სტადიონი,GE,,,,stadium
GE venue,Rubber tiles (buyer),სპაერი,GE,,,,stadium
GE venue,Rubber tiles (buyer),Tqwarchal Stadium,GE,,,,stadium
GE venue,Rubber tiles (buyer),Центральный стадион,GE,,,,stadium
GE venue,Rubber tiles (buyer),ფოლადის სტადიონი,GE,,,,stadium
GE venue,Rubber tiles (buyer),რამაზ შენგელიას სტადიონი,GE,,,,stadium
GE venue,Rubber tiles (buyer),ბორის პაიჭაძის სახელობის დინამო არენა,GE,თბილისი,+995 32 218 26 27;+995 32 218 27 26,,stadium
GE venue,Rubber tiles (buyer),თენგიზ ბურჯანაძის სტადიონი,GE,,,,stadium
GE venue,Rubber tiles (buyer),Paragliding launch Tbilisi Sea,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),Paragliding Mestia Launch,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),Padel Island Lisi,GE,,+995 511 13 35 51,https://www.padelisland.ge,sports pitch
GE venue,Rubber tiles (buyer),padelbade,GE,,,https://padelbade.com,sports pitch
GE venue,Rubber tiles (buyer),Padel Academy of Georgia,GE,,+995 599 00 88 55,https://padelacademy.ge,sports pitch
GE venue,Rubber tiles (buyer),Free table tennis in School,GE,,,,sports pitch
